Sample	Lowest ID	Broad group	Stage	Count	Fraction split	Representative count	Density in water column (ind./m3)
D1242-T1	Haloptilus cf. acutifrons	Copepod	Adult				
D1242-T1	Lensia achilles	Siphonophore	Adult				
D1242-T1	Pantachogon sp.	Hydromedusa	Adult				
D1242-T1	Travisiopsis lumbricoides	Polychaete	Adult				
D1242-T1	Emerita analoga	Decapod	Zoea				
D1242-T1	Conchoecilla daphnoides	Ostracod	Adult				
D1242-T1	Tomopteris sp.	Polychaete	Adult				
D1242-T1	Apolemia sp.	Siphonophore	Adult				
D1242-T1	Vogtia serrata	Siphonophore	Adult				
D1242-T1	Cyphocaris sp.	Amphipod	Adult				
D1242-T1	Thyssanoessa gregaria	Krill	Adult				
D1242-T1	Calocalanus sp.	Copepod	Adult				
D1242-T1	Polynoidae	Polychaete	Postlarva				
D1242-T1	Echinomysis sp.	Mysid	Adult				
D1243-T1	Echinomysis sp.	Mysid	Adult				
D1243-T1	Eucalanus californicus	Copepod	Adult				
D1243-T1	Conchoecissa ametra	Ostracod	Adult				
D1243-T1	Scina sp.	Amphipod	Adult				
D1243-T1	Nematoscelis difficilis	Krill	Adult				
D1243-T1	Colobonema sericeum	Hydromedusa	Adult				
D1243-T1	Metridia spp.	Copepod	Adult				
D1243-T1	Calanus pacificus	Copepod	Adult				
D1243-T1	Euchaeta marina	Copepod	Adult				
D1243-T1	Microsetella sp.	Copepod	Adult				
D1243-T1	Centraugaptilus cf. cucullatus	Copepod	Adult				
D1243-T1	Pleuromamma spp.	Copepod	Adult				
D1243-T1	Pasiphaea pacifica	Decapod	Adult				
D1243-T1	Pasiphaea pacifica	Decapod	Juvenile				
D1243-T1	Conchoecia spp.	Ostracod	Adult				
D1243-T1	Gaetanus brevispinus	Copepod	Adult				
D1243-T1	Euphausia pacifica	Krill	Adult				
D1243-T1	Beroe sp.	Ctenophore	Adult				
D1243-T1	Sagitta lyra	Chaetognath	Adult				
D1243-T1	Pseudosagitta maxima	Chaetognath	Adult				
D1243-T1	Sagitta spp.	Chaetognath	Adult				
D1243-T1	Conchoecilla daphnoides	Ostracod	Adult				
D1243-T1	Engraulidae	Actinopteri	Larva				
D1243-T1	Megacalanus sp.	Copepod	Adult				
D1243-T1	Cyclothone signata	Actinopteri	Adult				
D1243-T1	Chuniphyes multidentata	Siphonophore	Polygastric				
D1243-T1	Haloptilus cf. acutifrons	Copepod	Adult				
D1243-T1	Coronata (red belly)	Scyphomedusa	Juvenile				
D1243-T1	Gaussia princeps	Copepod	Adult				
D1243-T1	Thyssanopoda sp.	Krill	Adult				
D1243-T1	Chelophyes appendiculata	Siphonophore	Polygastric				
D1243-T1	Vogtia serrata	Siphonophore	Polygastric				
D1243-T1	Nematobranchion sp.	Krill	Adult				
D1243-T1	Cyphocaris sp.	Amphipod	Adult				
D1243-T1	Gaetanus pileatus	Copepod	Adult				
D1243-T1	Riteriella retracta	Salp	Oozooid				
D1243-T1	Sagitta hexaptera	Chaetognath	Adult				
D1243-T1	Corolla spectabilis	Gastropod	Adult				
D1243-T1	Tomopteris spp.	Polychaete	Adult				
D1243-T1	Argyropelecus sp.	Actinopteri	Larva				
D1243-T1	Lensia conoidea	Siphonophore	Polygastric				
D1243-T1	Stylocheiron longicorne	Krill	Adult				
D1243-T1	Candacia bipinnata	Copepod	Adult				
D1243-T1	Haliscera sp.	Hydromedusa	Adult				
D1243-T1	Travisiopsis lumbricoides	Polychaete	Adult				
D1243-T1	Heterorhabdus sp.	Copepod	Adult				
D1243-T1	Sergestidae spp. (Acetes?)	Decapod	Adult				
D1243-T1	Nanomia sp.	Siphonophore	Polygastric				
D1243-T1	Arietellus plumifer	Copepod	Adult				
D1243-T1	Vibilia armata	Amphipod	Adult				
D1243-T1	Vibilia armata	Amphipod	Juvenile				
D1243-T1	Nectadamas diomedeae	Siphonophore	Polygastric				
D1243-T1	Eupronoe minuta	Amphipod	Adult				
D1243-T1	Paraphronima sp.	Amphipod	Adult				
D1244-T1	Eucalanus californicus	Copepod	Adult				
D1244-T1	Cyclothone signata	Actinopteri	Adult				
D1244-T1	Megacalanus sp.	Copepod	Adult				
D1244-T1	Microsetella sp.	Copepod	Adult				
D1244-T1	Conchoecia spp.	Ostracod	Adult				
D1244-T1	Scina spp.	Amphipod	Adult				
D1244-T1	Pleuromamma spp.	Copepod	Adult				
D1244-T1	Pseudosagitta maxima	Chaetognath	Adult				
D1244-T1	Metridia pacifica	Copepod	Adult				
D1244-T1	Haloptilus cf. acutifrons	Copepod	Adult				
D1244-T1	Conchoecilla daphnoides	Ostracod	Adult				
D1244-T1	Pyrosoma sp.	Pyrosome	4-zooid				
D1244-T1	Calanus pacificus	Copepod	Adult				
D1244-T1	Sagitta lyra	Chaetognath	Adult				
D1244-T1	Gaetanus brevispinus	Copepod	Adult				
D1244-T1	Euchaeta marina	Copepod	Adult				
D1244-T1	Paraconchoecia sp.	Ostracod	Adult				
D1244-T1	Conchoecissa ametra	Ostracod	Adult				
D1244-T1	Lensia conoidea	Siphonophore	Polygastric				
D1244-T1	Euphausiidae	Krill	Calytopsis				
D1244-T1	Euphausiidae	Krill	Furcilia				
D1244-T1	Ectinosomatidae	Copepod	Adult				
D1244-T1	Stylocheiron longicorne	Krill	Adult				
D1244-T1	Boreomysis californica	Mysid	Adult				
D1244-T1	Vibilia armata	Amphipod	Adult				
D1244-T1	Euphausia pacifica	Krill	Adult				
D1244-T1	Vogtia serrata	Siphonophore	Polygastric				
D1244-T1	Chuniphyes multidentata	Siphonophore	Polygastric				
D1244-T1	Stylocheiron cf. maximum	Krill	Adult				
D1244-T1	Nematoscelis difficilis	Krill	Adult				
D1244-T1	Lensia fowleri	Siphonophore	Polygastric				
D1244-T1	Lensia hotspur	Siphonophore	Polygastric				
D1244-T1	Centropages sp.	Copepod	Adult				
D1244-T1	Arietellus plumifer	Copepod	Adult				
D1244-T1	Cyphocaris sp.	Amphipod	Adult				
D1244-T1	Thunnus sp.	Actinopteri	Larva				
D1244-T1	Gaussia princeps	Copepod	Adult				
D1244-T1	Ihlea racovitzai	Salp	Blastozooid				
D1244-T1	Ceriantharia	Anthozoa	6-tentacle juvenile				
D1244-T1	Tomopteris spp.	Polychaete	Adult				
D1244-T1	Eucopia sp.	Lophogastrid	Adult				
D1244-T1	Flaccisagitta hexaptera	Chaetognath	Adult				
D1244-T1	Cyclothone sp.	Actinopteri	Adult				
D1244-T1	Gaetanus pileatus	Copepod	Adult				
D1244-T1	Eupronoe minuta	Amphipod	Adult				
D1244-T1	Pasiphaea pacifica	Decapod	Adult				
D1244-T1	Chelophyes appendiculata	Siphonophore	Polygastric				
D1244-T1	Nanomia sp.	Siphonophore	Polygastric				
D1244-T1	Subeucalanus sp.	Copepod	Adult				
D1244-T1	Maupausia sp.	Polychaete	Adult				
D1244-T1	Caecosagitta macrocephala	Chaetognath	Adult				
D1244-T1	Heteropyramis cf. maculata	Siphonophore	Polygastric				
D1244-T1	Eusergestes similis	Decapod	Adult				
D1244-T1	Kephyes ovata	Siphonophore	Polygastric				
D1244-T1	Heteropyramis crystallina	Siphonophore	Polygastric				
D1244-T1	Munnopsidae	Isopod	Adult				
D1244-T1	Gennadas sp.	Decapod	Adult				
D1244-T1	Macrocypridina s.	Ostracod	Adult				
D1244-T1	Thyssanoessa gregaria	Krill	Adult				
D1244-T1	Halicreas sp.	Hydromedusa	Adult				
D1244-T1	Undeuchaeta plumosa	Copepod	Adult				
D1244-T1	Centraugaptilus cf. cucullatus	Copepod	Adult				
D1244-T1	Centropages calaninus	Copepod	Adult				
D1244-T1	Paraphronima sp.	Amphipod	Adult				
D1244-T1	Lanceola sp.	Amphipod	Adult				
D1244-T1	Echinomysis sp.	Mysid	Adult				
D1244-T1	Stylocheiron elongatum	Krill	Adult				
D1244-T1	Dairella latissima	Amphipod	Adult				
D1244-T1	Brachyscelus crusculum	Amphipod	Adult				
D1244-T1	Alepocephalus sp.	Actinopteri	Juvenile				
D1244-T1	Sagitella sp.	Polychaete	Adult				
D1244-T1	Pneumoderma sp.	Gastropod	Adult				
D1244-T1	Pneumodermatidae	Gastropod	Adult				
Groton1-BW2-T2	Mnemiopsis leidyi (comb rows/8)	Ctenophore	Adult	11	16	176	
Groton1-BW2-T2	Calanus sp.	Copepod	Adult	128	16	2048	
Groton1-BW2-T2	Penilia avirostris	Cladoceran	Adult	504	16	8064	
Groton1-BW2-T2	Thalia democratica	Salp	Oozooid	3	16	48	
Groton1-BW2-T2	Thalia democratica	Salp	Blastozooid	44	16	704	
Groton1-BW2-T2	Pleurobrachia sp. (bulbs/2)	Ctenophore	Adult	5	16	80	
Groton1-BW2-T2	Centropages cf. hamatus	Copepod	Adult	124	16	1984	
Groton1-BW2-T2	Coryne eximia	Hydromedusa	Adult	1	1	1	
Groton1-BW2-T2	Crangon septemspinosa	Decapod	Zoea 1	4	16	64	
Groton1-BW2-T2	Actinopteri	Actinopteri	Egg	10	16	160	
Groton1-BW2-T2	Platysquilla eusebia	Stomatopod	Antizoea	2	16	32	
Groton1-BW2-T2	Majidae	Decapod	Zoea	1	16	16	
Groton1-BW2-T2	Podon sp.	Cladoceran	Adult	1	16	16	
Groton1-BW2-T2	Limacina retroversa	Gastropod	Adult	3	16	48	
Groton1-BW2-T2	Oikopleura sp.	Larvacean	Adult	10	16	160	
Groton1-BW2-T2	Sagitta setosa	Chaetognath	Adult	11	1	11	
Groton1-BW2-T2	Libinia sp.	Decapod	Megalopa	2	1	2	
Groton1-BW2-T2	Hyperiidae sp. (Lestrigonus?)	Amphipod	Adult	2	1	2	
Groton1-BW2-T2	Tompteris sp.	Polychaete	Adult	1	1	1	
Groton1-BW2-T2	Laodicea undulata	Hydromedusa	Adult	1	1	1	
Groton1-BW2-T2	Mitrocomella polydiademata	Hydromedusa	Adult	1	1	1	
Groton1-BW2-T2	Pleurobrachia sp. (whole preserved)	Ctenophore	Adult	11	1	11	
Groton1-BW2-T2	Amphinema rugosum	Hydromedusa	Adult	1	1	1	
Groton1-BW2-T2	Squilla empusa	Stomatopod	Alima	11	1	11	
Groton1-BW2-T2	Emerita talpoida	Decapod	Zoea	2	1	2	
Groton1-BW2-T2	Scomber scomber	Actinopteri	Larva	13	1	13	
Groton1-BW2-T2	Pleuronectidae	Actinopteri	Larva	1	1	1	
Groton1-BW2-T2	Alpheus sp.	Decapod	Zoea 1	1	1	1	
Groton1-BW2-T2	Crangon septemspinosa	Decapod	Zoea 2	4	1	4	
Groton2-BW1-T1	Penilia avirostris	Cladoceran	Adult	201	16	3216	
Groton2-BW1-T1	Temora turbinata	Copepod	Adult	64	16	1024	
Groton2-BW1-T1	Centropages cf. typicus	Copepod	Adult	58	16	928	
Groton2-BW1-T1	Oikopleura sp.	Larvacean	Adult	31	16	496	
Groton2-BW1-T1	Sagitta cf. tasmanica	Chaetognath	Adult	27	16	432	
Groton2-BW1-T1	Calanoida	Copepod	Adult	24	16	384	
Groton2-BW1-T1	Candacia bipinnata	Copepod	Adult	18	16	288	
Groton2-BW1-T1	Echinoida	Echinoderm	Echinopluteus	16	16	256	
Groton2-BW1-T1	Thalia democratica	Larvacean	Blastozooid	12	16	192	
Groton2-BW1-T1	Polychaeta	Polychaete	Nectochaete	7	16	112	
Groton2-BW1-T1	Clupeidae	Actinopteri	Egg	6	16	96	
Groton2-BW1-T1	Calanus sp.	Copepod	Adult	6	16	96	
Groton2-BW1-T1	Actinopteri	Actinopteri	Egg	6	16	96	
Groton2-BW1-T1	Labidocera aestiva	Copepod	Adult	4	16	64	
Groton2-BW1-T1	Sagitta setosa	Chaetognath	Adult	3	16	48	
Groton2-BW1-T1	Paraeucalanus sp.	Copepod	Adult	3	16	48	
Groton2-BW1-T1	Belzebub faxoni	Decapod	Zoea	3	16	48	
Groton2-BW1-T1	Podon sp.	Cladoceran	Adult	2	16	32	
Groton2-BW1-T1	Crangon septemspinosa	Decapod	Zoea	1	16	16	
Groton2-BW1-T1	Sapphirina sp.	Copepod	Adult	1	16	16	
Groton2-BW1-T1	Euchaeta marina	Copepod	Adult	1	16	16	
Groton2-BW1-T1	Creseis sp.	Gastropod	Adult	1	16	16	
Groton2-BW1-T1	Pleurobrachia sp. (Tentacle bulbs/2)	Ctenophore	Adult	1	16	16	
Groton2-BW1-T1	Diphyes sp.	Siphonophore	Eudoxid	1	16	16	
Groton2-BW1-T1	Anthomedusae	Hydromedusa	Juvenile	1	16	16	
Groton2-BW1-T1	Pagurus longicarpus	Decapod	Zoea	1	16	16	
Groton2-BW1-T1	Pterotrachea sp.	Gastropod	Juvenile	1	16	16	
Groton2-BW1-T1	Doliolida	Doliolid	Blastozooid	1	16	16	
Groton2-BW1-T1	Thalia democratica	Salp	Blastozooid	15	1	15	
Groton2-BW1-T1	Clupeidae	Actinopteri	Larva	15	1	15	
Groton2-BW1-T1	Hyperoche medusarum	Amphipod	Adult	9	1	9	
Groton2-BW1-T1	Scomber spp.	Actinopteri	Larva	8	1	8	
Groton2-BW1-T1	Creseis sp.	Gastropod	Adult	7	1	7	
Groton2-BW1-T1	Thalia democratica	Salp	Oozooid	3	1	3	
Groton2-BW1-T1	Belzebub faxoni	Decapod	Adult	3	1	3	
Groton2-BW1-T1	Peachia sp.	Anthozoa	Juvenile	3	1	3	
Groton2-BW1-T1	Crangon septemspinosa	Decapod	Zoea II	3	1	3	
Groton2-BW1-T1	Hippolytidae	Decapod	Zoea	2	1	2	
Groton2-BW1-T1	Eupronoe sp.	Amphipod	Adult	2	1	2	
Groton2-BW1-T1	Platyscelus sp.	Amphipod	Adult	2	1	2	
Groton2-BW1-T1	Agalma elegans	Siphonophore	Athorybia stage	2	1	2	
Groton2-BW1-T1	Pleuronectes americanus	Actinopteri	Larva	2	1	2	
Groton2-BW1-T1	Squilla empusa	Stomatopod	Alima	1	1	1	
Groton2-BW1-T1	Nanomia sp. (pneumatophore)	Siphonophore	Polygastric	1	1	1	
Groton2-BW1-T1	Clytia gregaria	Hydromedusa	Adult	1	1	1	
Groton2-BW1-T1	Liriope tetraphylla	Hydromedusa	Adult	1	1	1	
Groton2-BW1-T1	Doryteuthis pelaeii	Cephalopod	Paralarva	1	1	1	
Groton2-BW1-T1	Oxycephalus sp.	Amphipod	Adult	1	1	1	
Groton2-BW1-T1	Glossocephalus milneedwardsii	Amphipod	Adult	1	1	1	
