Sample	Lowest ID	Broad group	Stage	Count	Fraction split	Representative count	Density in water column (ind./m3)
D1137-T1	Colobonema sericeum	Hydromedusa	Adult	1	16	16	
D1137-T1	Chuniphyes moserae	Siphonophore	Polygastric	1	16	16	
D1137-T1	Chelophyes appendiculata	Siphonophore	Polygastric	1	16	16	
D1137-T1	Brachipoda	Brachiopod	Lecitotrophic larva	1	16	16	
D1137-T1	Calanoida	Copepod	Adult	14	1	14	
D1137-T1	Colobonema sericeum	Hydromedusa	Adult	10	1	10	
D1137-T1	Lensia conoidea	Siphonophore	Polygastric	5	1	5	
D1137-T1	Cyclothone signata	Actinopteri	Adult	4	1	4	
D1137-T1	Chelophyes appendiculata	Siphonophore	Polygastric	4	1	4	
D1137-T1	Salpa fusiformis	Salp	Oozoid	3	1	3	
D1137-T1	Poeobius meseres	Polychaete	Adult	3	1	3	
D1137-T1	Myctophum sp.	Actinopteri	Adult	3	1	3	
D1137-T1	Hydrozoa	Hydromedusa	Adult	3	1	3	
D1137-T1	Haliscera sp.	Hydromedusa	Adult	3	1	3	
D1137-T1	Chuniphyes multidentata (anterior)	Siphonophore	Polygastric	3	1	3	
D1137-T1	Beroe sp.	Ctenophore	Adult	3	1	3	
D1137-T1	Scina sp.	Amphipod	Adult	2	1	2	
D1137-T1	Paraphronima sp.	Amphipod	Adult	2	1	2	
D1137-T1	Euphausia pacifica	Euphausid	Furcilia	2	1	2	
D1137-T1	Eucalanus californicus	Copepod	Adult	2	1	2	
D1137-T1	Chuniphyes sp. (posterior)	Siphonophore	Polygastric	2	1	2	
D1137-T1	Atolla sp.	Scyphomedusa	Adult	2	1	2	
D1137-T1	Tomopteris sp.	Polychaete	Adult	1	1	1	
D1137-T1	Streetsia challengeri	Amphipod	Adult	1	1	1	
D1137-T1	Sergestoidea	Decapod	Adult	1	1	1	
D1137-T1	Pyrosoma atlanticum	Pyrosome	Adult	1	1	1	
D1137-T1	Cyphocaris sp.	Amphipod	Adult	1	1	1	
D1137-T1	Gaussia princeps	Copepod	Adult	1	1	1	
D1137-T1	Gaetanus sp.	Copepod	Adult	1	1	1	
D1137-T1	Cyclothone sp.	Actinopteri	Larval	1	1	1	
29Mar19-BW3	Copepoda (<2mm)	Copepod 	Adult + Copepodite	1603	16	25648	
29Mar19-BW3	Copepoda (Calanus pacificus) (>2mm)	Copepod	Adult	226	16	3616	
29Mar19-BW3	Corycaeus sp.	Copepod	Adult	192	16	3072	
29Mar19-BW3	Oikopleura dioica	Appendicularia	Adult	94	16	1504	
29Mar19-BW3	Euphausiidae	Krill	Calytopsis	44	16	704	
29Mar19-BW3	Euphausiidae	Krill	Metanauplius	38	16	608	
29Mar19-BW3	Sagitta sp.	Chaetognath	Adult + Juvenile	25	16	400	
29Mar19-BW3	Muggiaea atlantica	Siphonophore	Polygastric	13	16	208	
29Mar19-BW3	Eucalanus californicus	Copepod	Nauplius	12	16	192	
29Mar19-BW3	Bilateria	Egg	Egg	9	16	144	
29Mar19-BW3	Evadne sp.	Cladoceran	Adult	8	16	128	
29Mar19-BW3	Euphausiidae	Krill	Furcilia	6	16	96	
29Mar19-BW3	Gastropoda	Benthic snail	Veliger	4	16	64	
29Mar19-BW3	Muggiaea atlantica	Siphonophore	Eudoxid	4	16	64	
29Mar19-BW3	Bivalvia	Bivalve	Veliger	3	16	48	
29Mar19-BW3	Anthoathecata	Hydromedusa	Adult	2	16	32	
29Mar19-BW3	Salpida	Salp	Blastozooid	1	16	16	
29Mar19-BW3	Cirripedia	Barnacle	Cypris	1	16	16	
29Mar19-BW3	Eucalanus californicus	Copepod	Adult	1	16	16	
29Mar19-BW3	Sphaeronectes koellikeri	Siphonophore	Polygastric	9	1	9	
29Mar19-BW3	Pleurobrachia sp.	Ctenophore	Adult	4	1	4	
29Mar19-BW3	Beroe sp.	Ctenophore	Adult	3	1	3	
29Mar19-BW3	Muggiaea atlantica	Siphonophore	Polygastric	2	1	2	
29Mar19-BW3	Thunnus sp.	Actinopteri	Larva	1	1	1	
29Mar19-BW3	Geryonidae	Decapod	Zoea II	1	1	1	
29Mar19-BW3	Oikopleura dioica	Appendicularia	Adult	1	1	1	
29Mar19-BW3	Salpida	Salp	Blastozooid	1	1	1	
D1139-BWT1	Copepoda (<2mm)	Copepod 	Adult + Copepodite	945	32	30240	
D1139-BWT1	Copepoda (Calanus pacificus) (>2mm)	Copepod	Adult	198	32	6336	
D1139-BWT1	Corycaeus sp.	Copepod	Adult	170	32	5440	
D1139-BWT1	Euphausiidae	Krill	Calytopsis	151	32	4832	
D1139-BWT1	Oikopleura dioica	Appendicularia	Adult	130	32	4160	
D1139-BWT1	Euphausiidae	Krill	Metanauplius	75	32	2400	
D1139-BWT1	Eucalanus californicus	Copepod	Nauplius	73	32	2336	
D1139-BWT1	Eucalanus californicus	Copepod	Adult	29	32	928	
D1139-BWT1	Euphausiidae	Krill	Furcilia	27	32	864	
D1139-BWT1	Evadne sp.	Cladoceran	Adult	25	32	800	
