0a98baae1b0aa9d367e1c7b0b4ebc4e9,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Physonectae,100	162	73.34
acab4ac13a1e220c4309333f36ecddad,Eukaryota	Stramenopiles	Chrysophyceae,98.8	166	71.94
af240d887ae9403e0fac001c720e44d6,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,85.19	162	82.10
afe391ecaa37c7907ecd9f8c7bcaecf5,Eukaryota,90.68	161	86.05
b1e079efb749dcb9d097ae3b448be0d7,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,100	88	90.75
b4777ace6be951e75d4b28003874c09b,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Pleocyemata	Caridea	Alpheoidea	Alpheidae,99.44	178	89.03
b54d0371649173c0f77763c641008dba,Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	Cryptomonas,98.8	166	90.72
b6f5892d23fd972b7815f9e08c4484f5,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,90.85	164	86.36
b79f4b6b0a3686cc374c6b3bf127fbb4,Eukaryota	Fungi	Dikarya	Basidiomycota,89.16	166	84.03
b845f3a69367fd5c86cc8de3e2f0b7b1,Eukaryota	Rhizaria	Cercozoa,94.15	171	87.58
b9c94c37383d40bd565f879a2542374f,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea	Hypotrichia	Euplotida,92.59	162	87.02
b9cd1cc95b49e22ef539779b5bbefdb0,Eukaryota	Stramenopiles	Chrysophyceae,99.4	166	72.00
c2136d1753e7b7e84e1c4f820a6825da,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,97.56	164	90.30
c6459ed2e0be31b1e197f0920d9f2450,Eukaryota	Alveolata,91.25	160	86.02
ca3f7a50394363a69384c6d93069ac79,Eukaryota	Alveolata,91.98	162	85.74
ca631db1c5bfc42eeed375a9e2750fc3,Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariophycidae	Naviculales	Naviculaceae	Navicula,99.41	169	91.41
cdadbbe4afa01e7e492fbb77ac89fe72,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Metridinidae,100	164	91.78
ce139c0c403dcb786461b38223ccec1f,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peritrichia	Vorticellidae	Carchesium	Carchesium polypinum,100	151	73.25
d91d5366b5d5e028149843dd20ad07a8,Eukaryota,99.43	135	89.89
dae17defa328592402191de6bd54b573,Eukaryota	Viridiplantae	Chlorophyta,99.39	164	91.21
dd80f2d8284c8c28dc48c15dd0093205,Eukaryota,88.41	164	85.09
dead5f117a55fc07663166226835af93,Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	Cryptomonas,98.8	166	90.72
e21d5e0a8f13c4b83f1c628429789436,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,96.95	164	88.88
e3a13a59031b76714bf30cf7c5ef07c2,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Poecilostomatoida	Corycaeidae	Corycaeus	Corycaeus speciosus,98.73	157	91.06
e50460097fffc66966a2b96908e3b3b9,Eukaryota	Viridiplantae	Chlorophyta	prasinophytes,97.75	136	72.24
e5050e3c3f40a243e0ce56b1e8224d36,Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Debaryomycetaceae,99.39	165	91.48
e759b947020c5d3950f75f41f0fd7781,Eukaryota	Rhizaria	Cercozoa,89.16	166	86.59
efdd9af6fdb37f9096ab4ef98230227f,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,100	88	90.75
f10c495d5ddce12972a01e52585dd4d9,Eukaryota	Fungi,100	163	91.77
f34098c56d3a185287bba371043b1dfa,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peritrichia	Vorticellidae	Carchesium	Carchesium polypinum,100	151	73.25
f57ceee9792bad67d3f8e83046cb1d83,Eukaryota,99.43	135	89.89
f988fbe22f0a370c57793f2ac9819999,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,99.38	162	91.12
fd59f76e75c8c97f4e0d541ffb4ff428,Eukaryota,93.94	165	87.90
fde0f13085ebc2891c9279126238a1cb,Eukaryota	Fungi,100	163	91.77
ff8c58d93311293ea1715f432fba4bb9,Eukaryota,94.37	107	84.25
