"OTU" "Feature_name" "134_227Halis_379_198_S1_L001" "134_228Nanom_367_210_S2_L001" "134_233bChun_355_222_S3_L001" "134_234bEren_343_234_S4_L001" "134_235bApol_331_246_S5_L001" "134_236Apole_319_258_S6_L001" "134_241Lensi_307_270_S7_L001" "134_242Forsk_295_282_S8_L001" "134_243Apole_378_199_S9_L001" "134_244Steph_366_211_S10_L001" "134_245Diphy_354_223_S11_L001" "134_246Diphy_342_235_S12_L001" "134_247Diphy_330_247_S13_L001" "134_248Diphy_318_259_S14_L001" "134_249Diphy_306_271_S15_L001" "134_250Vogti_294_283_S16_L001" "134_251Diphy_377_200_S17_L001" "134_252Agalm_365_212_S18_L001" "134_253Agalm_353_224_S19_L001" "134_254Chuni_341_236_S20_L001" "134_255Apole_329_248_S21_L001" "134_256Apole_317_260_S22_L001" "134_257Apole_305_272_S23_L001" "134_258Praya_293_284_S24_L001" "134_259Steph_376_201_S25_L001" "134_260Apole_364_213_S26_L001" "134_261Sphae_352_225_S27_L001" "134_262Forsk_340_237_S28_L001" "134_263Apole_328_249_S29_L001"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00_119.00_91.31" "bdb65b42029f5e48b309fef9aedf00b1" "27521" "36972" "35069" "27201" "34024" "23103" "19979" "27157" "36765" "25562" "24974" "27298" "16588" "21107" "11449" "32603" "24485" "13309" "18558" "18463" "19698" "24467" "28487" "23153" "13156" "29575" "41335" "23163" "37569"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00_119.00_91.23" "906fa622227c230330a4d4e96d6e944a" "22602" "0" "0" "23109" "235" "0" "0" "26327" "0" "23326" "0" "0" "0" "0" "0" "34355" "0" "13658" "18172" "0" "0" "0" "0" "20918" "13715" "0" "44067" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00_119.00_91.31" "83fcdbe8c2f86759e06fca0a8d86aa5b" "0" "0" "0" "0" "31386" "18261" "0" "0" "35250" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19473" "24184" "27951" "0" "0" "28088" "0" "0" "36656"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00_119.00_72.88" "b4b8fdd0c998b5fe8338fdfdc606b675" "0" "0" "0" "0" "0" "0" "18566" "0" "0" "0" "23628" "26297" "16616" "20417" "10970" "0" "23466" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.32_119.00_ 90.46_NA_NA" "acefe3b9b969d1ed866e455cdfae6b78" "0" "0" "30808" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17904" "461" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_100.00_119.00_90.98" "69fbfaac160e94c840a27ec135cd863e" "4088" "37291" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__99.16_119.00_ 90.19_NA_NA" "b837e71dd0457ef184c59ec0e82a593a" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22227" "0"
"Eukaryota_Amorphea_Amoebozoa_Centrohelida_uncultured marine eukaryote__uncultured marine eukaryote_NA_ 97.37_ 38.00_89.14" "3e44831489bb11a0a89314b912bfa05d" "0" "0" "0" "0" "2434" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "34" "0"
"Eukaryota__100_36_89.98___NA_NA_NA_NA" "fb6215d46556c4235978223074855201" "0" "0" "0" "0" "2301" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales__100_113_ 72.10_NA_NA_NA" "f37c9fc23e90d5540c447a4281dbccdd" "0" "0" "0" "0" "1217" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
