"OTU" "Feature_name" "179_227Halis_379_198_S1_L001" "179_228Nanom_367_210_S2_L001" "179_233bChun_355_222_S3_L001" "179_234bEren_343_234_S4_L001" "179_235bApol_331_246_S5_L001" "179_236Apole_319_258_S6_L001" "179_241Lensi_307_270_S7_L001" "179_242Forsk_295_282_S8_L001" "179_243Apole_378_199_S9_L001" "179_244Steph_366_211_S10_L001" "179_245Diphy_354_223_S11_L001" "179_246Diphy_342_235_S12_L001" "179_247Diphy_330_247_S13_L001" "179_248Diphy_318_259_S14_L001" "179_249Diphy_306_271_S15_L001" "179_250Vogti_294_283_S16_L001" "179_251Diphy_377_200_S17_L001" "179_252Agalm_365_212_S18_L001" "179_253Agalm_353_224_S19_L001" "179_254Chuni_341_236_S20_L001" "179_255Apole_329_248_S21_L001" "179_256Apole_317_260_S22_L001" "179_257Apole_305_272_S23_L001" "179_258Praya_293_284_S24_L001" "179_259Steph_376_201_S25_L001" "179_260Apole_364_213_S26_L001" "179_261Sphae_352_225_S27_L001" "179_262Forsk_340_237_S28_L001" "179_263Apole_328_249_S29_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_162.00_ 73.41" "18f366b7ccd45c15b4173756a75f52c6" "17203" "18911" "31010" "25444" "23814" "26318" "18305" "24172" "24371" "13495" "19058" "24835" "23065" "19671" "27226" "26105" "36753" "33866" "18443" "29017" "34460" "24348" "17274" "26492" "20160" "37410" "22122" "24566" "21778"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_162.00_ 73.41" "f4e7b3df5f63ba2a40d1ea6b598b4d65" "18475" "18097" "29038" "22721" "19722" "25956" "17069" "21944" "24971" "13344" "21535" "24531" "24203" "19710" "28196" "25555" "38139" "34709" "17661" "30089" "37021" "24619" "16752" "27785" "20420" "34439" "21901" "26853" "21027"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.39" "f70b5ca3c5acf6f22b0ece62c6e2d7c8" "0" "0" "0" "0" "1194" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.39" "b004dde2ed374ab8eaf9fe69f70c2ebe" "0" "0" "0" "0" "1095" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_88_72.67_NA_NA" "2c3935622101e4fefd1e1f96e0185278" "32" "302" "35" "19" "0" "33" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "70" "0" "0" "55" "0" "0" "0" "0" "22" "0" "205" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 98.75_160.00" "2c2c86b89da25d56756752ff40222b70" "0" "0" "0" "0" "0" "0" "76" "0" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "291" "0" "84" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 88.00_ 72.78" "f7f71ac6f5c4e6b1f058cbfb553b20ac" "0" "0" "41" "0" "55" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "7" "85" "0" "0" "43" "0" "0" "0" "0" "15" "0" "162" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__100_88_72.67_NA_NA" "1128231472e37b4c914859fc744c3a21" "25" "311" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 98.75_160.00" "981b923ed84fcd6fa90a1fce603b8f74" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "185" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_164.00" "d6c766710abe9fa0fbaf7d071588c779" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "82" "0"
