"OTU" "Feature_name" "261_227Halis_379_198_S1_L001" "261_228Nanom_367_210_S2_L001" "261_233bChun_355_222_S3_L001" "261_234bEren_343_234_S4_L001" "261_235bApol_331_246_S5_L001" "261_236Apole_319_258_S6_L001" "261_241Lensi_307_270_S7_L001" "261_242Forsk_295_282_S8_L001" "261_243Apole_378_199_S9_L001" "261_244Steph_366_211_S10_L001" "261_245Diphy_354_223_S11_L001" "261_246Diphy_342_235_S12_L001" "261_247Diphy_330_247_S13_L001" "261_248Diphy_318_259_S14_L001" "261_249Diphy_306_271_S15_L001" "261_250Vogti_294_283_S16_L001" "261_251Diphy_377_200_S17_L001" "261_252Agalm_365_212_S18_L001" "261_253Agalm_353_224_S19_L001" "261_254Chuni_341_236_S20_L001" "261_255Apole_329_248_S21_L001" "261_256Apole_317_260_S22_L001" "261_257Apole_305_272_S23_L001" "261_258Praya_293_284_S24_L001" "261_259Steph_376_201_S25_L001" "261_260Apole_364_213_S26_L001" "261_261Sphae_352_225_S27_L001" "261_262Forsk_340_237_S28_L001" "261_263Apole_328_249_S29_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.53_214_ 92.04_NA_NA_NA" "b39dedda2a9eb2f1087a61d6ed2209a6" "3061" "2978" "1190" "1289" "1360" "2189" "1772" "463" "2413" "2376" "1572" "1099" "567" "812" "473" "1698" "1906" "532" "220" "1644" "1145" "1227" "378" "1321" "4644" "1098" "4490" "844" "1298"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.53_214_ 92.04_NA_NA_NA" "9ca32c01e69d7097b1b104cea3f5ddbf" "2967" "3355" "1414" "1205" "1479" "2309" "1758" "87" "2555" "2404" "1057" "1031" "449" "621" "406" "1579" "2307" "376" "0" "1688" "835" "1468" "355" "931" "5185" "1184" "4295" "685" "1117"
"Eukaryota__100_34_90.34___NA_NA_NA_NA" "b5aea57848b5616fef1a3db3bbef9f3f" "0" "0" "0" "0" "3279" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "37" "0" "166" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 96.23_ 53.00_ 88.70_NA" "c92caaff9f6e23078b2d6d17f631451f" "0" "0" "0" "0" "3244" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "99" "0"
"Eukaryota_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Lankesteria__ 97.34_188.00_ 89.66_NA" "3ee96cb62d329819af23faf713fae4be" "0" "0" "0" "0" "2772" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Lankesteria__ 97.60_208.00_ 90.03_NA" "8cd5799c83652ba4ab79291e3882f473" "0" "0" "0" "0" "2491" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00_196.00_73.63" "b2c39bced236eea52604d74dc2aa722c" "0" "0" "0" "0" "1031" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00_216.00_73.74" "73c3589dc1b4849a733bc5aa75028947" "0" "0" "0" "0" "905" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__95.45_44_85.11___NA_NA_NA_NA" "ee92cf5ce9beb82391d073907bee0cd6" "0" "0" "0" "0" "123" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__99.48_192_91.80__NA_NA_NA_NA" "ad2540c19e0f8a924af6a244be89562a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "112" "0"
