"OTU" "Feature_name" "261_179_Lych_384_193_S1_L001" "261_180_Reso_372_205_S2_L001" "261_184_Barg_360_217_S3_L001" "261_185_Barg_348_229_S4_L001" "261_186_Reso_336_241_S5_L001" "261_188_Barg_324_253_S6_L001" "261_189_Barg_312_265_S7_L001" "261_190_Eren_300_277_S8_L001" "261_191_Marr_383_194_S9_L001" "261_193_Reso_371_206_S10_L001" "261_200_Fril_359_218_S11_L001" "261_201_Apol_347_230_S12_L001" "261_202_Apol_335_242_S13_L001" "261_204_Keph_311_266_S15_L001" "261_205_Keph_299_278_S16_L001" "261_206_Nano_382_195_S17_L001" "261_207_Unde_370_207_S18_L001" "261_208_Lily_358_219_S19_L001" "261_209_Phys_346_231_S20_L001" "261_210_Lych_334_243_S21_L001" "261_211_Apol_322_255_S22_L001" "261_212_Fril_310_267_S23_L001" "261_213_Fors_298_279_S24_L001" "261_214_Lych_381_196_S25_L001" "261_215_Agal_369_208_S26_L001" "261_216_Diph_357_220_S27_L001" "261_217_Diph_345_232_S28_L001" "261_218_Diph_333_244_S29_L001" "261_219_Diph_321_256_S30_L001" "261_220_Cord_309_268_S31_L001" "261_221_Diph_297_280_S32_L001" "261_222_Gymn_380_197_S33_L001" "261_223_Cras_368_209_S34_L001" "261_225_Nano_344_233_S36_L001" "261_226_Desm_332_245_S37_L001" "261_229_Chun_320_257_S38_L001" "261_230_Lych_308_269_S39_L001" "261_231_Fors_296_281_S40_L001" "261_232_Barg_379_198_S41_L001" "261_237_Chun_367_210_S42_L001" "261_238_Gymn_355_222_S43_L001" "261_239_Barg_343_234_S44_L001" "261_240_Chun_331_246_S45_L001"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca__100_191_91.50_NA_NA_NA_NA" "dd845e2bd707861c84f00da5e8028ec2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "381" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa__94.34_53_87.60______NA_NA_NA_NA" "dc94480178897c5412b16cd9a07e1dbe" "0" "0" "310" "0" "52" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Rhodophyta_Bangiophyceae_Bangiales_Bangiaceae__100_28_90.31___NA_NA_NA_NA" "0ef950a6c7d81cf83b6275bc883890a4" "0" "0" "290" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Nematoda_Chromadorea_Tylenchida_Tylenchina_Tylenchoidea_Hoplolaimidae_Rotylenchulinae_Rotylenchus_NA_100.00_ 31_90.35" "d416cb1ae87a3580180f9b8e75d56d84" "0" "0" "181" "0" "0" "0" "30" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "45" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Myxozoa_Myxosporea_Bivalvulida_Variisporina_Parvicapsulidae__94.44_54_ 70.16_NA_NA_NA" "c0ed873e91254066007722b13030db7c" "0" "0" "167" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42" "0" "0" "0" "0"
"Eukaryota_Alveolata__87.37_198_84.85______NA_NA_NA_NA" "522fbcb999184080a7df7320afefc1b6" "0" "0" "0" "114" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa__94.34_53_87.60______NA_NA_NA_NA" "7be6500a22ca1e6aaf9882b7bfe45dcd" "0" "0" "0" "111" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa__94.34_53_87.60______NA_NA_NA_NA" "b8646bdcdee6da8973536a86f8b5c8ec" "0" "0" "0" "103" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Chordata_Craniata__100_194_92.09____NA_NA_NA_NA" "0bfad0cbb9323b10755f665860bce882" "0" "0" "0" "0" "50" "0" "28" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Apostomatida_Foettingeriidae__98.46_195_72.80_NA_NA_NA_NA" "43d35468a5c0b528e6dc810ff208cdd8" "0" "0" "0" "86" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__91.77_147_86.99___NA_NA_NA_NA" "872568aa2439090c7afa123287fa64ab" "0" "0" "0" "0" "0" "0" "80" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__92.5_80_86.81___NA_NA_NA_NA" "57d21566ac9d516d185a84cdc1ed486d" "0" "0" "0" "0" "0" "0" "78" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida__93.27_208_87.18__NA_NA_NA_NA" "fa4d4a0488489e9b196eb274bec040c3" "0" "0" "62" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata__92.86_210_86.42____NA_NA_NA_NA" "f5e9ca9af006b6264004cf96199ac6e7" "0" "0" "24" "0" "0" "0" "0" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Stramenopiles_Bicosoecida_Cafeteriaceae__100_197_73.59____NA_NA_NA_NA" "15018cb3d6372898e3fe803f83aefc85" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "49" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
