"OTU" "Feature_name" "261_179_Lych_384_193_S1_L001" "261_180_Reso_372_205_S2_L001" "261_184_Barg_360_217_S3_L001" "261_185_Barg_348_229_S4_L001" "261_186_Reso_336_241_S5_L001" "261_188_Barg_324_253_S6_L001" "261_189_Barg_312_265_S7_L001" "261_190_Eren_300_277_S8_L001" "261_191_Marr_383_194_S9_L001" "261_193_Reso_371_206_S10_L001" "261_200_Fril_359_218_S11_L001" "261_201_Apol_347_230_S12_L001" "261_202_Apol_335_242_S13_L001" "261_204_Keph_311_266_S15_L001" "261_205_Keph_299_278_S16_L001" "261_206_Nano_382_195_S17_L001" "261_207_Unde_370_207_S18_L001" "261_208_Lily_358_219_S19_L001" "261_209_Phys_346_231_S20_L001" "261_210_Lych_334_243_S21_L001" "261_211_Apol_322_255_S22_L001" "261_212_Fril_310_267_S23_L001" "261_213_Fors_298_279_S24_L001" "261_214_Lych_381_196_S25_L001" "261_215_Agal_369_208_S26_L001" "261_216_Diph_357_220_S27_L001" "261_217_Diph_345_232_S28_L001" "261_218_Diph_333_244_S29_L001" "261_219_Diph_321_256_S30_L001" "261_220_Cord_309_268_S31_L001" "261_221_Diph_297_280_S32_L001" "261_222_Gymn_380_197_S33_L001" "261_223_Cras_368_209_S34_L001" "261_225_Nano_344_233_S36_L001" "261_226_Desm_332_245_S37_L001" "261_229_Chun_320_257_S38_L001" "261_230_Lych_308_269_S39_L001" "261_231_Fors_296_281_S40_L001" "261_232_Barg_379_198_S41_L001" "261_237_Chun_367_210_S42_L001" "261_238_Gymn_355_222_S43_L001" "261_239_Barg_343_234_S44_L001" "261_240_Chun_331_246_S45_L001"
"Eukaryota_Bilateria__99.48_193_91.81__NA_NA_NA_NA" "c5956a4825552f7107181251735c29cc" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "457" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__100_191_92.06__NA_NA_NA_NA" "dd845e2bd707861c84f00da5e8028ec2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "381" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__85.48_186_87.20___NA_NA_NA_NA" "dc94480178897c5412b16cd9a07e1dbe" "0" "0" "310" "0" "52" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__85.11_188_88.76___NA_NA_NA_NA" "0ef950a6c7d81cf83b6275bc883890a4" "0" "0" "290" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_34_90.36___NA_NA_NA_NA" "d416cb1ae87a3580180f9b8e75d56d84" "0" "0" "181" "0" "0" "0" "30" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "45" "0" "0" "0" "0"
"Eukaryota__98.04_51_88.28___NA_NA_NA_NA" "c0ed873e91254066007722b13030db7c" "0" "0" "167" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00_195.00_73.62" "522fbcb999184080a7df7320afefc1b6" "0" "0" "0" "114" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__89.81_206_87.86___NA_NA_NA_NA" "7be6500a22ca1e6aaf9882b7bfe45dcd" "0" "0" "0" "111" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__89.81_206_87.86___NA_NA_NA_NA" "b8646bdcdee6da8973536a86f8b5c8ec" "0" "0" "0" "103" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Homo sapiens_NA_100.00_194.00_73.67" "0bfad0cbb9323b10755f665860bce882" "0" "0" "0" "0" "50" "0" "28" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_uncultured_uncultured eukaryote_NA_100.00_195.00_73.41" "43d35468a5c0b528e6dc810ff208cdd8" "0" "0" "0" "86" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__91.02_147_ 86.40_NA_NA_NA" "872568aa2439090c7afa123287fa64ab" "0" "0" "0" "0" "0" "0" "80" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__92.5_80_ 86.81_NA_NA_NA" "57d21566ac9d516d185a84cdc1ed486d" "0" "0" "0" "0" "0" "0" "78" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Lankesteria__ 94.68_188.00_ 87.33_NA" "8f10bbe064c7d96dc7f3e90082bf5261" "0" "0" "73" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Lankesteria__ 95.19_208.00_ 87.94_NA" "fa4d4a0488489e9b196eb274bec040c3" "0" "0" "62" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Spirotrichea_Euplotia_Aspidisca__100.00_209.00_ 91.98_NA" "f5e9ca9af006b6264004cf96199ac6e7" "0" "0" "24" "0" "0" "0" "0" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Bicosoecida__100_197_ 73.69_NA_NA_NA" "15018cb3d6372898e3fe803f83aefc85" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "49" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Homo sapiens_NA_100.00_195.00_73.68" "3f1da4a10984e07bee29ae79e7f62039" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "27" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured marine eukaryote_uncultured marine eukaryote_NA_100.00_195.00_73.13" "d29ca487f066f8c7022767446f5aec09" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Mediophyceae__100_195.00_ 92.10_NA_NA" "059a29b6af545ee8a44fffa638cb49b5" "0" "0" "29" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Spirotrichea_Euplotia_Aspidisca__100.00_192.00_ 91.79_NA" "3b50fc64bb902861b82b0a84b83f5b0e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Ochrophyta_Ochromonadales_Paraphysomonas__100_193.00_ 73.22_NA_NA" "c8a80aac1f05b6c8168e719fb08e73b0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 89.21_160.00_ 87.43_NA" "34b717e02c0b52a5fc00c8a1074492a2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Litostomatea_Haptoria__99.04_208.00_ 90.98_NA_NA" "4fe264e83645edfd29fe4f4cbabeede9" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I__100_215.00_ 92.29_NA_NA" "d6277778b518efa7236dfeb51deb5cbd" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea_Tetrahymena__ 98.96_193.00_ 91.48_NA" "0c63d69257e380381a6c8a1be50ba27d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Mediophyceae__100_215.00_ 92.24_NA_NA" "e02b1b38896c65f9b4da9585dc1a17e4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Tunicata_Thaliacea__100.00_194.00_ 90.98_NA" "d1f823d406cee464820b009efd2cfb5f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gymnodiniphycidae_Suessiaceae__100_194.00_ 92.09_NA_NA" "73c09fb08f0246801b32e612ac62fade" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_uncultured eukaryote_NA_ 99.53_211.00_91.96" "0060c9af70be2f4f8e08ce6dcf9e891e" "0" "0" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Ochrophyta_Ochromonadales_Paraphysomonas__100_193.00_ 91.69_NA_NA" "4e864c319719f2f94b13105de583d43e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata__96.94_125.00_ 71.72_NA_NA" "1a9b2319915dfaea3907d4e3f34388a9" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Rhizaria_Cercozoa_Ascetosporea__95.31_ 64.00_ 87.39_NA_NA" "f016edb4faad788e4e736767211fea07" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta__98.13_214_ 87.46_NA_NA_NA" "744ca76cf329950948508c1e5aaf2952" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__84.9_192_82.23__NA_NA_NA_NA" "6a4499f709891ec1a8d0f5717f521432" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0"
