"OTU" "Feature_name" "166_300Apole_091_102_S1_L001" "166_304Crase_079_114_S2_L001" "166_305Crase_067_126_S3_L001" "166_309Forsk_055_138_S4_L001" "166_310Gymno_043_150_S5_L001" "166_311Lychn_031_162_S6_L001" "166_313Marru_019_174_S7_L001" "166_314Praya_007_186_S8_L001" "166_315Resom_090_103_S9_L001" "166_316Resom_078_115_S10_L001" "166_317Vogti_066_127_S11_L001" "166_319Frill_054_139_S12_L001" "166_320Forsk_042_151_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_165.00" "631762098115a861b2a3c57fe2ae2ce5" "72450" "88258" "84449" "43414" "73917" "0" "27194" "55126" "74947" "69260" "71160" "76542" "11967"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 99.31_145.00" "a59c694c72b87e09929138c8397c4b87" "70519" "81435" "79600" "33765" "63054" "1449" "22470" "51010" "58425" "63164" "59182" "73863" "9147"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.40_166.00_ 91.49" "d6b1e09be571de1c852f17a651b91623" "0" "0" "0" "0" "0" "57877" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.32_146.00_ 91.25" "d20a968867181414a83ed183ce08d236" "0" "0" "0" "0" "0" "57550" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda__98.8_166.00_ 71.85_NA" "ba5cf1c1c1ba9119dfa1d1f9e42d5c77" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "55144"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda__99.32_146.00_ 72.13_NA" "911888012cb19ed8acd4ca4cc9dc007f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "51009"
"Eukaryota_Ctenophora_Tentaculata_uncultured eukaryote___uncultured eukaryote_NA_ 99.39_165.00" "6e90cd7654d477388141b5b221864e2f" "0" "0" "0" "0" "0" "2021" "0" "0" "0" "0" "0" "2514" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Homo sapiens_NA_100.00_146.00" "1522e26ce5e7901356a9938c620e5182" "0" "0" "55" "34" "0" "932" "0" "0" "7" "98" "116" "51" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Homo sapiens_NA_100.00_166.00" "86e31112f858ca42cfad4e36f7df393f" "0" "0" "0" "53" "0" "1110" "0" "0" "0" "89" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda__ 98.61_144.00_ 90.57" "aeda8b42ab252c4ffc7dc19a4b6a5318" "0" "0" "0" "0" "0" "0" "0" "1177" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda__ 98.61_144.00_ 90.57" "4472bbaefd3498f911230c8b6e4c4891" "0" "0" "0" "0" "0" "0" "0" "750" "0" "0" "0" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea__99.39_164.00_ 72.98_NA" "1f162fccabc403a2c3fffee60e1a20a8" "0" "0" "138" "0" "0" "0" "0" "0" "0" "0" "482" "97" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_uncultured__100.00_144.00_ 72.96" "24be5b3607a3ce5eb752ba2fbb8b0bbe" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "323" "101" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_168.00_ 91.06" "b5848a8c86c882efdd09422b0e3648aa" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "362"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_148.00_ 91.26" "7626c5db57cfb5f99b173536e8bc66e8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "305"
"Eukaryota_Ascomycota_Saccharomycotina_Saccharomycetales__100_165_ 91.79_NA_NA" "8c0464ac198f3a0707012b74af997c3f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "210" "0" "0" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Homo sapiens_NA_100.00_166.00" "f00672dcf62493e2ef51321ecba61f8d" "0" "0" "0" "0" "0" "0" "0" "0" "59" "0" "99" "49" "0"
"Eukaryota_Ascomycota_Saccharomycotina_Saccharomycetales__100_145_ 91.58_NA_NA" "8ffaec3919792b4fa7f6c71fb4576d16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "203" "0" "0" "0"
"Eukaryota__93.86_105_89.44___NA_NA_NA" "d3ffe9651f3abd77e7c39d98e0d8f3aa" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "195"
"Eukaryota_SAR_Ochrophyta__100_162_91.51_NA_NA_NA" "9a37af7f5a88d516accf1c803b4c3803" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "195" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa__97.47_158.00_ 89.95_NA" "bec10a0772ac72842a85205ef994f5ab" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "108" "50" "34"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.38_161.00" "a89ca3461be3ad67500e5e6feac66a71" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "83" "104"
"Eukaryota_Chlorophyta_Chlorophyceae__100_165_91.79_NA_NA_NA" "76090fe337f8b22eaa84efac8f6656a2" "0" "0" "86" "0" "0" "0" "0" "0" "0" "0" "0" "0" "98"
"Eukaryota__93.86_105_89.44___NA_NA_NA" "09f52eca0982f4497122a31e5d7c7435" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "178"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_ 96.93_163.00" "930a98d092f9af8e0ffc42c9e5455b24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "167" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea__91.03_156.00_ 86.89_NA" "0208ed09eb4c81deaf73e43dd25effec" "0" "0" "106" "0" "0" "0" "0" "0" "37" "0" "0" "0" "21"
"Eukaryota_SAR_Alveolata_Syndiniales__97.55_163_ 90.21_NA_NA" "4b5973428d68858fe67bb0de1084e013" "0" "0" "0" "0" "0" "160" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Blastocladiomycota_Incertae Sedis_Blastocladiales_Catenaria__97.92_144.00_ 90.42_NA" "afb494a2b5f7aeca7c4206c0fd3b88e9" "0" "0" "23" "0" "0" "0" "0" "0" "0" "0" "134" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda__96.25_116.00_ 90.54_NA" "92812b800f751e3f8fcf90dea5de5e8b" "0" "0" "0" "0" "0" "147" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea__91.03_156.00_ 86.89_NA" "ecc85ffd3f50e1a8b7f632d0367984d1" "0" "0" "102" "0" "9" "0" "0" "0" "31" "0" "0" "0" "0"
"Eukaryota_Blastocladiomycota_Incertae Sedis_Blastocladiales_Catenaria__98.17_164.00_ 90.76_NA" "fbac03e981635689d3cc1986108dab60" "0" "0" "71" "0" "0" "0" "0" "0" "64" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.29_141.00" "a2231529bdc1d29390a0132bb45dc7ae" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "63" "66"
"Eukaryota_Blastocladiomycota_Incertae Sedis_Blastocladiales_Catenaria__98.17_164.00_ 90.76_NA" "66bffda0fcbe9ac4e281acb55bef7daf" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "126" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales__97.55_163_ 90.21_NA_NA" "7b0b0b309b295e93eaa1a2ff620f7e0e" "0" "0" "0" "0" "0" "120" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Spirotrichea_Choreotrichia__99.38_160.00_ 90.63_NA" "b8c0109f7860a535c89a745be910bd5f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "106" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_uncultured eukaryote_NA_ 93.29_164.00" "8f95333dd97fb2d16b86adba13fe85a6" "0" "0" "43" "0" "0" "0" "0" "0" "0" "0" "61" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta__100_144_ 73.26_NA_NA" "74a8e613bab4eb7eb7076ac04be90fe0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "104" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__98.11_139_ 89.48_NA_NA" "6f55e7063dfb1d2e97d18f8c7444f1e9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "103" "0" "0"
"Eukaryota_Chlorophyta_Chlorophyceae__99.3_143_91.21_NA_NA_NA" "8deb717930727be0c840bb3dfde7cbe4" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "92" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.58_165.00_ 90.52_NA" "1aff852ce9cd0f2a371911a8cf33db5b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "95" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa__97.47_158.00_ 89.95_NA" "10ea3827526de689e164b7f529f9c1e2" "0" "0" "41" "0" "0" "0" "10" "0" "0" "0" "0" "43" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea__94.48_163.00_ 88.42_NA" "7861a3c41570f266ef53c37cbb598fa0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "85"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I__99.39_163.00_ 91.33_NA" "0081b4425b0cdc374e32ff37735ec9db" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "82" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Spirotrichea_Choreotrichia__99.38_160.00_ 90.63_NA" "879242ebf24e9668d09b4cf17275dd3d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "80" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.9_143.00_ 90.48_NA" "0b150cc073573ddcc09b6746e72bb205" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "76" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_163.00" "110b7262ada1ac26b164e7717d2cbd23" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "72"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_163.00" "9f59214fdd677ae6a6046d5ed84904ca" "0" "0" "0" "0" "0" "70" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__98.83_113_ 90.06_NA_NA" "4bad02ec9e1e1c7d974a229b1a407dfb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "69" "0" "0"
"Eukaryota_SAR_Rhizaria_Retaria_RAD B_uncultured eukaryote_uncultured eukaryote_NA_100.00_163.00" "466a1af16babe0de866d3fdd28d065f5" "0" "0" "69" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_uncultured eukaryote_NA_ 93.29_164.00" "818f746a8161c54f1d17b6fda40a8307" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "68" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_163.00" "54430a583cf239ba7b5f6740d1bc9247" "41" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 94.68_ 94.00_ 88.23" "8f0c2c96ecd550bd4e5bd91361e2baaf" "0" "0" "0" "0" "0" "65" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa__ 97.86_140.00_ 72.36" "0fbf180f31624f12a339e9a422993db5" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0" "55" "0" "0"
"Eukaryota_SAR_Rhizaria_Retaria_RAD B_uncultured eukaryote_uncultured eukaryote_NA_100.00_163.00" "f798f62bc63b7f518cfec0bf0f7b4f68" "0" "0" "53" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.30_143.00" "6e99d4cb975c48c5c37d0b25e5305fc5" "0" "0" "1" "0" "0" "50" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Chlorophyta_Ulvophyceae__100_162_91.25_NA_NA_NA" "f1a0ef7e28cad0cec9ebc7c1cea71722" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "48" "0" "0"
"Eukaryota_SAR_Ochrophyta__100_142_91.27_NA_NA_NA" "b044c79b73c808a082eac9245dd313fd" "0" "0" "48" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 94.55_165.00" "47f939e26de68b8db941507a48710fd5" "48" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gymnodiniphycidae_Kareniaceae_Karlodinium_uncultured eukaryote_NA_ 99.39_163.00" "408a9859eff9dacd39834d686196194b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "45"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_163.00" "32726716a937bda090ec56f29aef6f44" "27" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group II_uncultured eukaryote_uncultured eukaryote_NA_100.00_166.00" "2825d1e04dea77425e207afd0b999a5c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Bacillariophyceae_Cocconeis__100.00_158.00_ 91.33" "44c017747d6b8a8118e8d012ff43d4c0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42" "0" "0"
"Eukaryota_Basidiomycota_Ustilaginomycotina_Malasseziales_Malasseziaceae_Malassezia_uncultured fungus_NA_100.00_163.00" "2b5a3513427a283d9a1d57d51f47a472" "0" "0" "0" "0" "0" "0" "0" "0" "23" "0" "18" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_uncultured eukaryote_uncultured eukaryote_NA_ 97.58_165.00" "dcb1c4856d75951537fdcdf93b17cfa1" "0" "0" "39" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.38_160.00" "4f83fc06eb165fd6af9695f01434b550" "0" "0" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.38_160.00" "5971f719bfd44f1d4df9c8ca2768955a" "0" "0" "0" "0" "0" "34" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__92.45_159_86.06___NA_NA_NA" "bd833868598fa38422cba3f4c351b73c" "0" "0" "33" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 96.16_143.00_ 89.43" "23cb4f1226f7483fc25eb0b79c48ff3b" "0" "0" "0" "0" "0" "33" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Phyllopharyngea__94.23_156.00_ 86.68_NA" "3ae126aa5641f83f53c847bb6c7163ee" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "32" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gymnodiniphycidae_Kareniaceae_Karlodinium_uncultured eukaryote_NA_ 99.30_143.00" "ade3c06428ff1f28262409c78eb576cd" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "30"
