"OTU" "Feature_name" "261_300Apole_091_102_S1_L001" "261_304Crase_079_114_S2_L001" "261_305Crase_067_126_S3_L001" "261_309Forsk_055_138_S4_L001" "261_310Gymno_043_150_S5_L001" "261_311Lychn_031_162_S6_L001" "261_313Marru_019_174_S7_L001" "261_314Praya_007_186_S8_L001" "261_315Resom_090_103_S9_L001" "261_316Resom_078_115_S10_L001" "261_317Vogti_066_127_S11_L001" "261_319Frill_054_139_S12_L001" "261_320Forsk_042_151_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.53_214_ 92.04_NA_NA_NA" "d2e7f14c85b8fcfaa3fa84c99b47421f" "294" "541" "1777" "1713" "2748" "72" "3513" "1439" "8494" "4546" "3438" "2305" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.53_214_ 92.04_NA_NA_NA" "3ac54e0f9821044ebd99488d634e9790" "1032" "268" "1488" "1716" "2606" "73" "2705" "1064" "6637" "4240" "2083" "1774" "125"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 96.23_ 53.00_ 88.70_NA" "d1085f8b892a3df6d9b589af1b7a9b0a" "0" "0" "208" "0" "0" "1462" "173" "0" "326" "0" "881" "0" "49"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 96.23_ 53.00_ 88.70_NA" "aa21f5d3c514d2b03bb9b122c03e863e" "0" "0" "224" "0" "0" "1356" "148" "0" "179" "0" "782" "11" "24"
"Eukaryota_Bilateria_Arthropoda_Malacostraca_Decapoda__99.53_214.00_ 73.63_NA_NA" "dbfc01add4adad738570b4162336d142" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1349"
"Eukaryota_Bilateria__100_191_92.06__NA_NA_NA_NA" "a7b5c139f8a686e4d5205b6cb748b661" "0" "0" "0" "0" "0" "1223" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda__ 99.49_195.00_ 91.28_NA" "7e1cbc1b7783688c891f3b30b57b63f6" "0" "0" "0" "0" "0" "0" "0" "1173" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda__ 99.07_216.00_ 91.36_NA" "8885c5cd236a562e46d06ff38d0db980" "0" "0" "0" "0" "0" "0" "0" "1032" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__99.53_213_92.03__NA_NA_NA_NA" "847bf9d9f0c2e92f30c5c6fc8bd0072a" "0" "0" "0" "0" "0" "973" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Arthropoda_Malacostraca_Decapoda__99.53_214.00_ 73.63_NA_NA" "3682f25891b26252f5fc0fb82f265fd5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "793"
"Eukaryota__94_50_86.72___NA_NA_NA_NA" "18ff6199685cf9d5d7aee253c00469c9" "0" "0" "0" "0" "0" "348" "30" "0" "0" "0" "0" "136" "0"
