"OTU" "Feature_name" "261_264_Nano_093_100_S1_L001" "261_265_Nano_081_112_S2_L001" "261_266_Nano_069_124_S3_L001" "261_267_Nano_057_136_S4_L001" "261_268_Nano_045_148_S5_L001" "261_269_Nano_033_160_S6_L001" "261_270_Nano_021_172_S7_L001" "261_271_Nano_009_184_S8_L001" "261_272_Nano_092_101_S9_L001" "261_273_Nano_080_113_S10_L001" "261_274_Nano_068_125_S11_L001" "261_275_Nano_056_137_S12_L001" "261_276_Sulc_044_149_S13_L001"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__98.97_194_91.49___NA_NA_NA_NA" "5e1ffc399c604ac1ada7b5e03faf94f2" "1792" "4967" "1886" "1247" "1916" "1942" "3914" "3272" "1963" "4693" "3674" "2762" "2414"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__99.48_192_91.74___NA_NA_NA_NA" "e03ea0c4cb89e071370ef5a7d708d805" "1910" "4745" "1887" "1193" "2263" "1940" "3580" "3144" "1923" "3710" "3422" "2708" "2064"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Centropagidae_Centropages_Centropages typicus_NA_98.45_193_91.26" "236f01e2b96b27077ae0bfc9558d049d" "0" "0" "0" "0" "0" "0" "0" "1274" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__98.95_191_90.03_NA_NA_NA" "99517db718278833eb87d3162970f7ef" "0" "0" "0" "0" "0" "0" "0" "1215" "0" "25" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Temoridae_Temora_Temora discaudata_NA_99.48_191_91.79" "a908ba13285ee98af391186878707ef3" "0" "0" "0" "0" "0" "0" "185" "0" "0" "95" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Temoridae_Temora_Temora discaudata_NA_99.48_193_91.81" "105c88e51947fa9def3eaefb95bc10f7" "0" "0" "0" "0" "0" "0" "163" "0" "0" "71" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Acartiidae_Acartia_Acartia tonsa_NA_99.52_209_91.98" "4217e1b6ee7195b23bc6460d41273c56" "0" "0" "0" "0" "0" "0" "0" "0" "0" "80" "49" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Acartiidae_Acartia_Acartia tonsa_NA_99.52_209_91.98" "2ddaefee4aff84466a8b5a9016705136" "0" "0" "0" "0" "0" "0" "0" "0" "0" "82" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_170_73.47__NA_NA_NA_NA" "f6f3fa25ceb627f1a37238340dfbdedc" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "30" "0" "0"
"Eukaryota_Stramenopiles_Bacillariophyta_Mediophyceae_Cymatosirophycidae_Cymatosirales_Cymatosiraceae__100_195_73.52_NA_NA_NA_NA" "25d0e3d3b2fc941dab7bb8417205fd06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0"
