"OTU" "Feature_name" "134_264_Nano_093_100_S1_L001" "134_265_Nano_081_112_S2_L001" "134_266_Nano_069_124_S3_L001" "134_267_Nano_057_136_S4_L001" "134_269_Nano_033_160_S6_L001" "134_270_Nano_021_172_S7_L001" "134_271_Nano_009_184_S8_L001" "134_272_Nano_092_101_S9_L001" "134_273_Nano_080_113_S10_L001" "134_274_Nano_068_125_S11_L001" "134_275_Nano_056_137_S12_L001" "134_276_Sulc_044_149_S13_L001"
"Eukaryota__100_113_90.34_______NA" "9953db0730baac38428647dfb0738b30" "0" "0" "0" "0" "0" "0" "0" "0" "288" "136" "0" "0"
"Eukaryota__100_113_90.34_______NA" "d0f071569e46636887fdb4ecbccec256" "0" "0" "0" "0" "0" "0" "0" "0" "200" "118" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea__99.19_123_90.27___NA" "94a91bcf22e9c84f354674a3c7e9f9a1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "66" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea__99.19_123_90.27___NA" "0513dc08cb07d0fde193b438e106d01d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "57" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.36_110_88.49__NA" "2c4c4c0061c0e5870b271ffabe64bbfb" "0" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Viridiplantae_Chlorophyta_Trebouxiophyceae__100_26_72.23____NA" "2520f037f28d34726ed4a09186e3f1bb" "0" "0" "0" "0" "0" "0" "0" "33" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.55_87_70.98__NA" "ea582cbd3ffb01bc36702aed3e6cf8f2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "25"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.55_87_70.98__NA" "d3c4bb6dc0dc27744eaab2ab8faa8b63" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "19"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Apostomatida_Foettingeriidae__95.19_104_71.26_NA" "62f4d94a95e8c27212f8a92e3c9edeb2" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__97.96_49_87.92_______NA" "5ba9514a0fd716f44259fc59a6e63abe" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__97.96_49_87.92_______NA" "7c655c67cfe4947020db17f36c3c8a1f" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Viridiplantae_Chlorophyta_Trebouxiophyceae__100_26_72.23____NA" "83d8ff11660471ccabedcf9c39f59644" "0" "0" "0" "0" "0" "0" "0" "8" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Oligohymenophorea_Apostomatida_Foettingeriidae__95.19_104_71.26_NA" "44efc987041aedb48e524bcd12493673" "0" "0" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa__90.68_118_88.19______NA" "f79e3286680b54b7603167fbd64598a9" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0"
