"OTU" "Feature_name" "166_179_Lych_384_193_S1_L001" "166_180_Reso_372_205_S2_L001" "166_184_Barg_360_217_S3_L001" "166_185_Barg_348_229_S4_L001" "166_186_Reso_336_241_S5_L001" "166_188_Barg_324_253_S6_L001" "166_189_Barg_312_265_S7_L001" "166_191_Marr_383_194_S9_L001" "166_193_Reso_371_206_S10_L001" "166_200_Fril_359_218_S11_L001" "166_201_Apol_347_230_S12_L001" "166_202_Apol_335_242_S13_L001" "166_203_Barg_323_254_S14_L001" "166_204_Keph_311_266_S15_L001" "166_205_Keph_299_278_S16_L001" "166_206_Nano_382_195_S17_L001" "166_207_Unde_370_207_S18_L001" "166_208_Lily_358_219_S19_L001" "166_209_Phys_346_231_S20_L001" "166_210_Lych_334_243_S21_L001" "166_211_Apol_322_255_S22_L001" "166_212_Fril_310_267_S23_L001" "166_213_Fors_298_279_S24_L001" "166_214_Lych_381_196_S25_L001" "166_215_Agal_369_208_S26_L001" "166_216_Diph_357_220_S27_L001" "166_217_Diph_345_232_S28_L001" "166_218_Diph_333_244_S29_L001" "166_219_Diph_321_256_S30_L001" "166_220_Cord_309_268_S31_L001" "166_221_Diph_297_280_S32_L001" "166_222_Gymn_380_197_S33_L001" "166_223_Cras_368_209_S34_L001" "166_224_Barg_356_221_S35_L001" "166_225_Nano_344_233_S36_L001" "166_226_Desm_332_245_S37_L001" "166_229_Chun_320_257_S38_L001" "166_230_Lych_308_269_S39_L001" "166_231_Fors_296_281_S40_L001" "166_232_Barg_379_198_S41_L001" "166_237_Chun_367_210_S42_L001" "166_238_Gymn_355_222_S43_L001" "166_239_Barg_343_234_S44_L001" "166_240_Chun_331_246_S45_L001"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.30_143.00_91.21" "09a2b29f380fb480894c61999fbcef33" "0" "0" "0" "455" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.40_166.00_ 91.49_NA" "ad5311c38e69befd9a997559f24ab567" "0" "0" "0" "0" "426" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 99.39_163.00_91.46" "0194ffa8497bd2860d69b86f74bcc556" "0" "0" "0" "392" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 99.32_146.00_ 91.25_NA" "658d50665ce6e4b9ea21c79cb2e9661f" "0" "0" "0" "0" "349" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.65_113.00_ 72.46_NA_NA" "fcf96a1e77c7272a4a2e7d850ad7c318" "0" "0" "244" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "66" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Homo sapiens_NA_100.00_166.00_73.44" "f8a7fa17cd0c74bf9d59a2d45ff85783" "0" "0" "14" "0" "104" "33" "39" "0" "0" "62" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_uncultured eukaryote_NA_ 99.40_166.00_91.49" "4784ca0b100648c6cbd98ddcbf76a24f" "0" "0" "0" "0" "47" "0" "229" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Dinoflagellata_Dinophyceae_Gymnodiniphycidae_Gymnodinium clade_Woloszynskia_uncultured eukaryote_NA_ 99.30_143.00_72.60" "ade75f92a444f8407ed549f4c41b2bd5" "0" "0" "281" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_SAR_Stramenopiles_MAST-12__100_150_ 91.23_NA_NA_NA" "0603a013f4086ba306fa252f986d9fd1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "196" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "78" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.65_113.00_ 72.46_NA_NA" "962851988559d361144c5fbaddff8df9" "0" "0" "199" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "74" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
