"OTU" "Feature_name" "17nine_179_Lych_384_193_S1_L001" "17nine_180_Reso_372_205_S2_L001" "17nine_185_Barg_348_229_S4_L001" "17nine_186_Reso_336_241_S5_L001" "17nine_188_Barg_324_253_S6_L001" "17nine_189_Barg_312_265_S7_L001" "17nine_191_Marr_383_194_S9_L001" "17nine_193_Reso_371_206_S10_L001" "17nine_200_Fril_359_218_S11_L001" "17nine_201_Apol_347_230_S12_L001" "17nine_202_Apol_335_242_S13_L001" "17nine_204_Keph_311_266_S15_L001" "17nine_205_Keph_299_278_S16_L001" "17nine_206_Nano_382_195_S17_L001" "17nine_207_Unde_370_207_S18_L001" "17nine_208_Lily_358_219_S19_L001" "17nine_209_Phys_346_231_S20_L001" "17nine_210_Lych_334_243_S21_L001" "17nine_211_Apol_322_255_S22_L001" "17nine_212_Fril_310_267_S23_L001" "17nine_213_Fors_298_279_S24_L001" "17nine_214_Lych_381_196_S25_L001" "17nine_215_Agal_369_208_S26_L001" "17nine_216_Diph_357_220_S27_L001" "17nine_217_Diph_345_232_S28_L001" "17nine_218_Diph_333_244_S29_L001" "17nine_219_Diph_321_256_S30_L001" "17nine_220_Cord_309_268_S31_L001" "17nine_221_Diph_297_280_S32_L001" "17nine_222_Gymn_380_197_S33_L001" "17nine_223_Cras_368_209_S34_L001" "17nine_224_Barg_356_221_S35_L001" "17nine_225_Nano_344_233_S36_L001" "17nine_226_Desm_332_245_S37_L001" "17nine_229_Chun_320_257_S38_L001" "17nine_230_Lych_308_269_S39_L001" "17nine_231_Fors_296_281_S40_L001" "17nine_232_Barg_379_198_S41_L001" "17nine_237_Chun_367_210_S42_L001" "17nine_238_Gymn_355_222_S43_L001" "17nine_239_Barg_343_234_S44_L001" "17nine_240_Chun_331_246_S45_L001"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Calanus__100.00_164.00" "8a2d3838e81d83fffb92de875faea885" "0" "0" "0" "133" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Paracalanus_Paracalanus parvus_NA_100.00" "ff1480058c38f3414b39f088c7935475" "0" "0" "0" "0" "0" "109" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__86.5_163_82.79___NA_NA" "2b69a4b2e647c9ede6671ddfbb3eefd4" "0" "0" "105" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Arthropoda_Malacostraca_Euphausiacea_Euphausia_Euphausia pacifica_NA_100.00" "62a5a4d5a516a67da05ad092ba57db3d" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "103" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__88.62_167_85.83___NA_NA" "095f0f29fd6ebb513315db6986bfc35b" "0" "0" "86" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__96.24_107_87.82___NA_NA" "9b61f0069b8eda7c4b5b1df8e174c231" "0" "0" "0" "79" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__86.5_163_82.79___NA_NA" "b602dee2e607c02b5842a764ff0f2aed" "0" "0" "75" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__96.24_107_87.82___NA_NA" "0a2c4f314f8ef4259e54433ed3797d0b" "0" "0" "0" "73" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa__97.53_162_90.46_NA_NA" "f5fa93416a58c525d47e9ea57742cba5" "0" "0" "0" "0" "0" "71" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__88.62_167_85.83___NA_NA" "e183dd5e883edd012e3beb2ccf62ab33" "0" "0" "70" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
