"OTU" "Feature_name" "152_264_Nano_093_100_S1_L001" "152_265_Nano_081_112_S2_L001" "152_266_Nano_069_124_S3_L001" "152_267_Nano_057_136_S4_L001" "152_268_Nano_045_148_S5_L001" "152_269_Nano_033_160_S6_L001" "152_270_Nano_021_172_S7_L001" "152_271_Nano_009_184_S8_L001" "152_272_Nano_092_101_S9_L001" "152_273_Nano_080_113_S10_L001" "152_274_Nano_068_125_S11_L001" "152_275_Nano_056_137_S12_L001" "152_276_Sulc_044_149_S13_L001"
"Eukaryota_environmental samples_uncultured eukaryote__100_153_91.67_____NA" "afd8e67ecd98cd21e47deb0f2e375819" "44744" "0" "56498" "60844" "83427" "62459" "56803" "41356" "65622" "53870" "82028" "85825" "66349"
"Eukaryota_environmental samples_uncultured eukaryote__100_153_91.67_____NA" "c32c77b92b9fa8088d49e730f0af31a6" "40323" "0" "52628" "53373" "70799" "56586" "48775" "35912" "61425" "49467" "60171" "79699" "54962"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_153_91.40" "979d2af60009f3b80469b43eb0fba8ee" "0" "0" "0" "0" "84" "1018" "2240" "10775" "0" "854" "0" "0" "110"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_153_91.40" "2ff3ae2ffa9fcbba869232574959928f" "0" "0" "0" "0" "0" "0" "1998" "10977" "0" "845" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Acartiidae_Acartia_Acartia tonsa_NA" "33072e6f638d8954e86a8da310312580" "0" "0" "0" "0" "0" "0" "0" "0" "0" "670" "604" "26" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Acartiidae_Acartia_Acartia tonsa_NA" "2f6d64ad29c6de4b1a881dcf19322f52" "0" "0" "0" "0" "0" "0" "0" "0" "0" "481" "614" "27" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_153_91.40" "4ec9823bff2beed361cf09ff1f26ccc8" "0" "0" "0" "0" "90" "870" "0" "0" "0" "0" "0" "55" "82"
"Eukaryota_environmental samples_uncultured eukaryote__100_133_91.46_____NA" "411e6987b2884d64a3307d700eb4b622" "23" "0" "0" "16" "0" "22" "30" "0" "31" "27" "5" "28" "31"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea__100_153_91.67___NA" "ea5c559e9aecc08f38931c404d22ca6c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "149" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea__100_153_91.67___NA" "a8f00bc535b817cadf3432befc8b7702" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "123" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_154_91.68_____NA" "0cae4a82951d95b6f488b0c06e21a45a" "0" "0" "0" "0" "0" "0" "0" "35" "0" "19" "12" "0" "21"
"Eukaryota_environmental samples_uncultured eukaryote__100_183_91.97_____NA" "8b0998b6a92046038567274f874fd2f3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "59" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_153_91.67" "25f1d7249459af5b18d4acdb49a9e738" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "57" "0"
"Eukaryota_Metazoa__92.16_153_86.79______NA" "d89865efe6232480bed8133cc25601ee" "0" "0" "0" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_90_91.00_____NA" "0c9ac38b71fcf52718565d2bda846ef4" "0" "0" "0" "0" "0" "0" "0" "0" "32" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_90_91.00_____NA" "3d832b1f5a23241b052b81bd9351d044" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_314_93.23_____NA" "05cc4f7e962c65f12e10eab9b6b34075" "0" "0" "0" "0" "15" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_206_92.21_____NA" "87e35672bde05827e70ebadf8566c400" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "8" "0"
"Eukaryota__97.62_88_88.77_______NA" "0c6b879e54c904823b964c91a88eb2fb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.45_246_92.26_____NA" "b6338f2fcd0ce0778bf0ddf1c74de4f1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2" "0"
