1b2572634fcc87a50f782c5bd6bda6f2	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia		90.7	129	86.05
1b2624e4b6d294605d13222f75755b80	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia		89.55	134	85.31
1b68ab6ffb90a85e09b0cb5a2a35fd68	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia	Labidocera	Labidocera pectinata		93.94	33	87.23
1b845c516fab69f33905631f3d935a4b	Eukaryota	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae		100	84	90.94
1b92e45a6948c84901322df0eff46de8	Eukaryota		93.42	76	87.33
1be7c5339f32c1cff23784de8a3af5f4	Eukaryota	Annelida	Polychaeta	Scolecida	Terebellida	Pectinaria		98.33	60	71.89
1c1897ba448089dfc826ca977d8358d3	Eukaryota	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae		94.5	109	88.26
1c847aa257371dadd2c2de112b8d0e1b	Eukaryota	Cercozoa	uncultured Cercozoa	uncultured Cercozoa			uncultured Cercozoa		100	130	73.14
1e9747201c63a2edc608626987bb9351	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Malacostraca		95.24	126	88.83
1f2610c123dc0b1e15a4cc327d80d24f	Eukaryota	Cnidaria	Hydrozoa	Hydroidolina	Anthoathecata		100	58	72.52
1f54b506d6e9a2f10355a69c76cf46f7	Eukaryota	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae		96.36	106	89.29
200ec7bf896808a0971cfddcbc18a18d	Eukaryota	Cercozoa		100	126	87.71
20e046345eca9fc2eb20e834284f58d1	Eukaryota		100	119	91.15
20f652c1b959de969982e83f8fd01612	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia		89.31	131	85.13
211084e616cd8b25bbf9dfdfc58f8c3c	Eukaryota	Cnidaria	Hydrozoa	Hydroidolina		94.05	84	87.77
2208d1678f8413001ca5aa656bd41e4b	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia		91.6	131	86.66
2339b90a1384522d6a7301305d6426a1	Eukaryota	Annelida	Polychaeta		94.7	132	70.86
234e7627faadf2779d68e5e561bcab6e	Eukaryota	Mollusca	Gastropoda	Caenogastropoda	Neogastropoda  super Buccinoidea		100	130	73.14
2419476fc9c2e16c038d0f33e41ecd24	Eukaryota	Cercozoa		93.33	105	87.36
244a7724162fb02b1696fc59e27f96c8	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Malacostraca		95.9	122	89.18
24852a23cee894fcad60672ac0b66573	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia		88.89	126	84.80
24c46ff7cd3cdbb1815c7f23cfa47c42	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia		84.38	128	81.47
2542ad6e0b858191df1b8a5781fd6086	Eukaryota	Annelida	Polychaeta	Scolecida	Spionida		100	70	90.78
25cd1126d737f2acd043b1750cb6d6dc	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia		89.68	126	85.34
262621ed92a816b9d631cc655955c31e	Eukaryota	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae		93.94	132	88.13
26c1519078e2d2a023b130b3e3662037	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Malacostraca		93.02	129	87.54
26e1909bc36418f9385d23c09d23d495	Eukaryota	Ctenophora	Tentaculata	Cydippida	Mertensiidae		100	131	72.91
26f7aedf6402de2d9e8269afe6c2c25b	Eukaryota	Cnidaria	Hydrozoa	Hydroidolina	Anthoathecata		98.75	80	72.22
275ea28de84448c1f1698217c72c84d2	Eukaryota	Arthropoda	Crustacea	Multicrustacea	Hexanauplia		90.15	132	85.71
283dad12eee132d3c7c87608a2e7510a	Eukaryota	Cercozoa		98.36	61	71.74
