"OTU" "Feature_name" "152_179_Lych_384_193_S1_L001" "152_180_Reso_372_205_S2_L001" "152_184_Barg_360_217_S3_L001" "152_185_Barg_348_229_S4_L001" "152_186_Reso_336_241_S5_L001" "152_188_Barg_324_253_S6_L001" "152_189_Barg_312_265_S7_L001" "152_191_Marr_383_194_S9_L001" "152_193_Reso_371_206_S10_L001" "152_200_Fril_359_218_S11_L001" "152_201_Apol_347_230_S12_L001" "152_202_Apol_335_242_S13_L001" "152_203_Barg_323_254_S14_L001" "152_204_Keph_311_266_S15_L001" "152_205_Keph_299_278_S16_L001" "152_206_Nano_382_195_S17_L001" "152_207_Unde_370_207_S18_L001" "152_208_Lily_358_219_S19_L001" "152_209_Phys_346_231_S20_L001" "152_210_Lych_334_243_S21_L001" "152_211_Apol_322_255_S22_L001" "152_212_Fril_310_267_S23_L001" "152_213_Fors_298_279_S24_L001" "152_214_Lych_381_196_S25_L001" "152_215_Agal_369_208_S26_L001" "152_216_Diph_357_220_S27_L001" "152_217_Diph_345_232_S28_L001" "152_218_Diph_333_244_S29_L001" "152_219_Diph_321_256_S30_L001" "152_220_Cord_309_268_S31_L001" "152_221_Diph_297_280_S32_L001" "152_222_Gymn_380_197_S33_L001" "152_223_Cras_368_209_S34_L001" "152_225_Nano_344_233_S36_L001" "152_226_Desm_332_245_S37_L001" "152_229_Chun_320_257_S38_L001" "152_230_Lych_308_269_S39_L001" "152_231_Fors_296_281_S40_L001" "152_232_Barg_379_198_S41_L001" "152_237_Chun_367_210_S42_L001" "152_238_Gymn_355_222_S43_L001" "152_239_Barg_343_234_S44_L001" "152_240_Chun_331_246_S45_L001"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Phyllopharyngea_Suctoria__96.08_153_89.03________NA_NA_NA_NA" "e996fc8ac8c451c35dc78c01df354087" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "28" "0" "0" "0" "0"
"Eukaryota__92.16_153_86.14_____________NA_NA_NA_NA" "cc416b641b8cb13bf7446f5b020d3872" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "26" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_314_93.13________NA_NA_NA_NA" "ad311674a690bb304c574881946614d2" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_79_90.88________NA_NA_NA_NA" "6b00a48b7624d01bd4689caf9b1b147a" "0" "0" "0" "0" "0" "24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida_Lecudinidae__98.69_153_72.59_______NA_NA_NA_NA" "674f8c21a7e9b3f2633ca4c729d72bc4" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__97.6_167_72.37_______NA_NA_NA_NA" "3860cbf05c13a1d858a735716b385a44" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__92.16_153_86.14_____________NA_NA_NA_NA" "1d07b015db7607518e9615187458592e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "17" "0" "0" "0" "0"
"Eukaryota_Viridiplantae_Chlorophyta_Chlorophyceae_Chlamydomonadales_Chlamydomonadaceae_Chlamydomonas__100_133_73.17_______NA_NA_NA_NA" "6249043ba6ffb1d15f9e3754ae5b3fa2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_244_91.63________NA_NA_NA_NA" "ef1c765ce74c2eef67d6cf919b24a09c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea__94.97_199_71.72_________NA_NA_NA_NA" "6b71b9e8dc68010b8fc07459917df740" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Endopterygota_Diptera_Nematocera_Culicoidea_Culicidae_Culicinae__99.35_154_91.35_NA_NA_NA" "a6b5e9c7532eaf6443f6c01f347a53b4" "0" "0" "0" "0" "0" "0" "0" "0" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Apicomplexa_Conoidasida_Gregarinasina_Eugregarinorida__92.80_202_70.48________NA_NA_NA_NA" "305625521eaa7e8695c6decac95c02b7" "0" "0" "2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
