"OTU" "Feature_name" "179_300Apole_091_102_S1_L001" "179_304Crase_079_114_S2_L001" "179_305Crase_067_126_S3_L001" "179_309Forsk_055_138_S4_L001" "179_310Gymno_043_150_S5_L001" "179_311Lychn_031_162_S6_L001" "179_313Marru_019_174_S7_L001" "179_314Praya_007_186_S8_L001" "179_315Resom_090_103_S9_L001" "179_316Resom_078_115_S10_L001" "179_317Vogti_066_127_S11_L001" "179_319Frill_054_139_S12_L001" "179_320Forsk_042_151_S13_L001"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured marine eukaryote_uncultured marine eukaryote_NA_100.00_167.00_73.45" "f62fa2e38bdba23a0dec7b168c36d06a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15" "35"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 95.18_166.00_89.16" "8710ae60f7f281b2a9b64ea7c39dc748" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "46"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_ 88.00_ 72.78_NA_NA" "4ea9bdbe8905b37dceb629c8365a42af" "0" "0" "0" "0" "0" "0" "0" "0" "3" "3" "0" "40" "0"
"Eukaryota_Ciliophora_Intramacronucleata_Conthreep_Oligohymenophorea__99.33_150.00_ 91.23_NA_NA" "51879a3c04e4fe2aafb8c2d408f9c7f5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43"
"Eukaryota_Bilateria__100_169_91.74__NA_NA_NA_NA" "43aa9249317000efd40ae8c75264ad2a" "0" "0" "0" "0" "0" "33" "0" "0" "0" "9" "0" "0" "0"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured marine eukaryote_uncultured marine eukaryote_NA_100.00_167.00_73.45" "b1938e8e25fb68df748b36264d6cc981" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40"
"Eukaryota_SAR_Alveolata_Syndiniales_Syndiniales Group I_uncultured eukaryote_uncultured eukaryote_NA_ 96.30_162.00_89.77" "ec08b0bc907bb5664b50b990c58477fb" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "37" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 94.74_114.00_ 88.13_NA" "91a1b3a491673e7d2f4401d9df79c719" "0" "0" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda__92.92_159.00_ 71.29_NA_NA" "35af267911b0ffe261f76bbf1cff7d4b" "0" "0" "0" "0" "0" "34" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 96.25_149.00_ 89.04_NA" "533ae13299a65378c24158134aab14c2" "0" "0" "0" "0" "0" "33" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__100_166_91.77___NA_NA_NA_NA" "044c4a1997ead93a24902190c17e04ec" "0" "0" "20" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__ 90.91_ 88.00_ 85.42_NA" "04284b425441665de16dc9c80f1af533" "0" "0" "0" "0" "0" "33" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Lophotrochozoa_Rotifera_Monogononta__ 99.38_161.00_ 91.18_NA" "b11876a7bbacce631bc3bdc4d5f5e7f7" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0"
