"OTU" "Feature_name" "261_264_Nano_093_100_S1_L001" "261_265_Nano_081_112_S2_L001" "261_266_Nano_069_124_S3_L001" "261_267_Nano_057_136_S4_L001" "261_268_Nano_045_148_S5_L001" "261_269_Nano_033_160_S6_L001" "261_270_Nano_021_172_S7_L001" "261_271_Nano_009_184_S8_L001" "261_272_Nano_092_101_S9_L001" "261_273_Nano_080_113_S10_L001" "261_274_Nano_068_125_S11_L001" "261_275_Nano_056_137_S12_L001" "261_276_Sulc_044_149_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__99.48_194_ 91.60_NA_NA" "5e1ffc399c604ac1ada7b5e03faf94f2" "1792" "4967" "1886" "1247" "1916" "1942" "3914" "3272" "1963" "4693" "3674" "2762" "2414"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__100_192_ 91.85_NA_NA" "e03ea0c4cb89e071370ef5a7d708d805" "1910" "4745" "1887" "1193" "2263" "1940" "3580" "3144" "1923" "3710" "3422" "2708" "2064"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_NA_ 99.48_193.0_90.24" "236f01e2b96b27077ae0bfc9558d049d" "0" "0" "0" "0" "0" "0" "0" "1274" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_NA_100.00_191.0_90.50" "99517db718278833eb87d3162970f7ef" "0" "0" "0" "0" "0" "0" "0" "1215" "0" "25" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_NA_ 99.48_191.0_90.70" "a908ba13285ee98af391186878707ef3" "0" "0" "0" "0" "0" "0" "185" "0" "0" "95" "0" "0" "0"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_NA_ 99.48_193.0_90.50" "105c88e51947fa9def3eaefb95bc10f7" "0" "0" "0" "0" "0" "0" "163" "0" "0" "71" "0" "0" "0"
"Eukaryota__99.52_209_89.82__NA_NA_NA_NA" "4217e1b6ee7195b23bc6460d41273c56" "0" "0" "0" "0" "0" "0" "0" "0" "0" "80" "49" "0" "0"
"Eukaryota__99.52_209_89.82__NA_NA_NA_NA" "2ddaefee4aff84466a8b5a9016705136" "0" "0" "0" "0" "0" "0" "0" "0" "0" "82" "0" "0" "0"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina__100_170_ 91.84_NA_NA" "f6f3fa25ceb627f1a37238340dfbdedc" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "30" "0" "0"
"Eukaryota_SAR_Stramenopiles_Ochrophyta_Mediophyceae__100_195.00_ 92.1_NA" "25d0e3d3b2fc941dab7bb8417205fd06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "18" "0" "0" "0"
