023d0543fbc0dc75ed83cf8d889a43d8,Eukaryota	Viridiplantae	Chlorophyta	Ulvophyceae	Cladophorales	Cladophoraceae,99.1	111	88.26
18cdbe3d2881d7e32eb3525a5fcf89ed,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,100	119	90.35
1967af632726f930210de183fc77a472,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Physonectae,97.48	119	71.27
1a16b4d60637bb8254336b2afa37017a,Eukaryota	Alveolata	Dinophyceae,100	57	72.21
1aaaa0873fe702ee6d0ecf31fc85562a,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae	Physonectae,97.48	119	71.27
1b1a0221d1fc4e659b097316468ff1e0,Eukaryota	Stramenopiles	Chrysophyceae,95.73	117	88.28
1ce73d55e5e0537ad2c05054dd71b4ed,Eukaryota	Alveolata	Dinophyceae,100	58	90.02
1d86c642963416f71a9ef9aa2c0682ce,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Paracalanidae	Paracalanus	Paracalanus parvus,100	106	91.17
1fb0e53245f2a5a5d1b5413d7b2529d0,Eukaryota	Stramenopiles	Chrysophyceae,96.58	117	88.82
1fccfabbe384722adabdb9d9b0e237f7,Eukaryota	Stramenopiles	Chrysophyceae,95.73	117	70.30
1fe35cf8c9fb3c545f7c3296f2d81ec9,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus,100	117	91.29
23b712b04f84302bb9ad6ff538396cee,Eukaryota,100	59	89.89
240118ce9f15e6fe5adcc4c5a08bd7ec,Eukaryota	Stramenopiles,98.33	60	89.82
261920b243c269b4abfc7d0561d5edb1,Eukaryota	Metazoa,91.94	62	87.21
2663906393a60fba97c946495e74020a,Eukaryota	Viridiplantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis,95.69	116	86.17
2799fda148c83fc823ae03c8020deb7f,Eukaryota	Alveolata,95.83	48	71.94
27d092feae7de30f44c691abddd0feae,Eukaryota	Rhizaria	Cercozoa	Cercomonadida	Heteromitidae,100	115	72.83
28238c43c06dd052a85247c68494dc7c,Eukaryota	Metazoa	Lophotrochozoa	Rotifera	Monogononta	Ploimida,100	121	90.83
28efe02c40956cab3b977b68d5d701c3,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida,93.33	120	88.02
2a828fdea374330e1d2fe8f55c3d93dd,Eukaryota	Stramenopiles	Chrysophyceae,94.87	117	88.04
2aa6727dd7f37292b47b2d9a09d5aa19,Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes,94.12	119	85.86
2bfb41ae1b9980a77bd10855ed5fb2ad,Bacteria	Proteobacteria	Gammaproteobacteria,98.33	60	89.16
319a7bbba9f71886dea2317cc37bfad7,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera	Endopterygota	Diptera	Nematocera	Culicoidea	Culicidae	Culicinae	Culicini	Culex	Culex,100	123	73.08
31c3a5f78a275e2c82e9165631ff513d,Eukaryota	Alveolata	Dinophyceae,98.26	115	70.54
31c434af8fdcbcb1bb2302228d725dff,Eukaryota	Alveolata	Ciliophora	Intramacronucleata,94.55	55	88.89
346393868951b984cc8a07f7a286c162,Mitochondria,100	70	90.50
34905f877ef29ab9618400f03a082e41,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peniculida	Parameciidae	Paramecium,100	110	88.66
34acbef7c2dc9651cb2cc292d2fb5c1d,Eukaryota	Stramenopiles,95.16	62	88.21
3509f52139099d74eacc44d97b89ec3f,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea,96.08	102	87.78
357fa098ba03896e8f04267f02bf7439,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca,100	120	88.17
3719482f091c5cf57694b76be0956584,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida,100	117	90.86
3880379cacda21602d6d85e7a92875ae,Eukaryota	Rhizaria	Cercozoa	Cercomonadida	Heteromitidae,100	115	72.83
392e62cdd17c3f2fe13788b46d26127c,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Apostomatida	Foettingeriidae,94.29	105	70.40
3bc4e77101789799f937e98415e97483,Eukaryota	Metazoa,91.94	62	87.21
3c390f50f21a004425a0c8b68d857552,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Euphausiacea	Euphausiidae,100	120	89.19
3dfe132a281e3dba12d5c0159dc9b727,Eukaryota	Viridiplantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae,100	119	73.05
3e28b858343d7b5e3b0ce4c8d5f2beda,Eukaryota,97.44	117	88.22
3e6966fc0e748f9e689c145206ea4e8b,Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes,100	119	71.36
3f2466f22fe4ad88053f93adecdaa82b,Eukaryota,100	60	90.07
4130792d1b899caed75ef7824e239797,Eukaryota	Alveolata	Dinophyceae,100	61	90.38
419e689ffc4c6902c78db5aa997e8f52,Eukaryota,93.75	64	88.40
433e27b8729fb24732ad193783765d40,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca,100	177	89.15
43aa7dc4d6e90cd7cedc1aa14203d076,Eukaryota	Alveolata	Dinophyceae,100	61	90.38
46ad5b7de127e38ed5b31484014ea22d,Eukaryota	Rhizaria	Cercozoa	Cercomonadida	Cercomonadidae,90.68	118	70.33
48bf4b73e0d6081eac0f88c7d8532c93,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Dendrobranchiata,97.22	72	71.39
4b2637e15b1b4b173dcb3e79cd224a8d,Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes,99.16	119	89.73
4b3f1b9116a8721e16dc23582b5fae1b,Bacteria	Proteobacteria	Gammaproteobacteria,98.33	60	89.16
4c2848fa3d1bf12e23c564abad3556cf,Eukaryota	Rhizaria	Cercozoa	Cercomonadida	Heteromitidae,100	115	72.83
4d0f6c4511f3b01c21f1ec5c381225ea,Eukaryota	Stramenopiles,95.73	117	87.98
4e0c66422d020dd27a2b120545ca135c,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria,96	50	70.36
4f7479862e3adda45f82410b1a1fb6de,Eukaryota	Stramenopiles,94.87	117	86.49
523a3c6985b7b8c42751a04447aa08a5,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peritrichia,97.87	94	70.94
53fa4bf3ba6c79dbbc6f0151eed7090c,Eukaryota	Fungi,99.16	119	88.85
544dae3eb9435ca50323401ad9866fb4,Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariophycidae,97.39	115	89.74
549da547fa02bb3823848b76296a67aa,Eukaryota	Viridiplantae	Chlorophyta	Trebouxiophyceae,89.92	119	84.82
54aa64ea6c028a5b4832972dcec5e7df,Eukaryota,100	37	90.41
54e199304f136f67c2434bd3e49ce7a2,Eukaryota	Alveolata	Dinophyceae,98.36	61	89.26
5515453c56486d9c5574af64bd1c47c8,Eukaryota	Viridiplantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae,100	119	73.05
55d05c94a27a5f95e2c12c17b7ed8ed8,Eukaryota,98.04	51	89.55
565b41493cfa15b91c6137313d5bbc2b,Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas noctigama,96.58	117	89.12
566e945710939d2b0d54824bef3ac0c9,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,98.32	119	89.74
57c1aa876a5716f62672f3a1641923bf,Eukaryota	Stramenopiles,90.6	117	85.32
584449405db03b7bdae32816ce988f1b,Eukaryota	Rhizaria	Cercozoa,96.55	116	88.71
5969bb56dcbab5b9ef8bd952e8f6fcc0,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus,100	117	91.29
5a93d7c36716642321e1c6a854796246,Eukaryota	Stramenopiles	Bacillariophyta,98.29	117	72.34
5adf9e097415062840974be3a2c1b83b,Eukaryota	Stramenopiles,92.31	117	86.01
5b24f5de84a01bef1e4939de0cc5f980,Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae	Thalassiosira,99.15	117	72.69
5b844c08b24075dd6722d395da45ca6a,Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales,100	117	87.08
5bb2293f092f9131910313f057aaf2ae,Eukaryota	Fungi,100	118	90.96
5dfab86845105b4066a643a0030c0bec,Eukaryota	Alveolata	Dinophyceae,100	58	90.04
5fd6017c531cea92d3f04d3b63a7eb6e,Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Dothideales	Aureobasidiaceae,100	119	91.31
61d0aff24bbf90a333ea80b7cb819671,Eukaryota	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora,98.36	61	71.91
62197c31c64db236ec502c1887f08bcb,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda	Calanoida	Paracalanidae	Paracalanus	Paracalanus parvus,100	106	91.17
621d155d10401ebc6661dc24f18aea92,Eukaryota	Stramenopiles,98.25	57	90.27
62fdb1b18af4eda8e1746d18997c13bd,Eukaryota	Stramenopiles,91.3	115	89.65
635d6de4634365071da138e78ca9a945,Eukaryota	Alveolata	Ciliophora	Intramacronucleata,98.28	58	89.30
64691078b2d10b2fe635d9e7051107c6,Eukaryota	Alveolata	Dinophyceae,98.36	61	89.40
6637bb91fdaf97013467d9bdd727d468,Eukaryota	Metazoa	Platyhelminthes	Catenulida	Stenostomidae	Stenostomum	Stenostomum leucops,100	122	73.07
6a7b44f4de7c24be92bb793ef815e69e,Eukaryota	Stramenopiles,98.33	60	89.82
6b315fa446d2c498bb4570b58f542356,Eukaryota	Alveolata	Dinophyceae,89.66	116	87.49
6edb9580c0c6f93f4d2cf77e1069cb85,Eukaryota	Metazoa,94.34	53	88.78
6fae223606cf8bd15eb394046af296f7,Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas noctigama,96.58	117	89.12
703db9ffa3627877c52229620daa8d9a,Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes,100	59	72.53
7118b7c2563d1ccff720cf86db5317d6,Eukaryota	Fungi,100	57	72.17
7314b60269d22a71cf6cba8af55ac3c8,Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales,100	119	73.05
7337516544f57ae2e90a739609e49305,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda,98.53	68	90.57
7535c26deedfba180019f3a9d2bcafba,Eukaryota	Alveolata	Dinophyceae,100	61	90.68
753fcb1f677a1dc0fe89d5bc6c8cbaa7,Eukaryota	Alveolata	Dinophyceae	Gymnodiniales,88.18	110	84.11
769f9ed79234e8c241be7bd7dd0940a8,Eukaryota	Stramenopiles	Bicosoecida	Cafeteriaceae,100	109	72.57
77f5b94445bf0c66bfb1806b3d44b5e2,Eukaryota	Stramenopiles	Chrysophyceae,91.45	117	86.85
7931159e0fe960bcec532134bf4e672e,Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae	Thalassiosira,99.15	117	72.69
7c7166b9c703e4503230299f86e35240,Eukaryota,88.99	109	87.30
7f6c6dda05b35b77ae9bc3fbd2f21ab4,Eukaryota	Metazoa,100	38	90.43
808374981ad1b6b84ce0e40ada3a2240,Eukaryota	Cryptophyta,93.16	117	86.93
81acadabe8d88739617ead6b0fc1d65e,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,96.64	119	88.89
83f50e5492d91c37f0e395a4e26b9abe,Eukaryota	Alveolata	Dinophyceae,100	58	90.04
86b82fd4394739a5924d91d814ee03d3,Eukaryota	Alveolata	Dinophyceae,89.29	112	89.53
893ae8d8c137bb08c43819af2ea2bea2,Eukaryota	Alveolata	Dinophyceae,100	64	90.71
8a9f0744cb13566a44123333dad4a3b3,Eukaryota	Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilaginales	Ustilaginaceae,96.55	58	71.13
8abec94784d18c5eb5bd8af3b4490e1a,Eukaryota	Amoebozoa,100	127	89.56
8d35132babca13a192e7f27babedd38d,Eukaryota	Rhizaria	Cercozoa	Vampyrellida	Vampyrellidae,95.88	97	70.26
8dd7c4dfe10b8abcbf34d1c60eef2af5,Eukaryota	Alveolata	Dinophyceae,100	58	90.04
8facdab0506f582d19ff29defbeff67a,Eukaryota	Rhizaria	Cercozoa	Plasmodiophorida	Plasmodiophoridae,96.61	59	70.96
90a9cff5a981b03c9fb38d8cac92466c,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,100	120	88.49
9182c80d4276036ab8965995be285eb2,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peritrichia	Vorticellidae,100	91	71.82
93ee82cf6fca52aa67e3b07b3224405a,Eukaryota	Metazoa,100	61	90.07
953d6ffb56bd8b73b32b74e82452bc87,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria,94.92	59	88.00
95e5319952c68e67cd8699f5f0c8a508,Eukaryota	Stramenopiles,94.87	117	86.48
962dd59cbb1e2f2678f1d181f8932afd,Eukaryota	Alveolata	Ciliophora	Intramacronucleata,100	61	90.08
974d3b3ffeee6a14e43c09701761377d,Bacteria	Proteobacteria	Gammaproteobacteria,98.33	60	89.16
9753a24a762b0d0f861642c9341b4744,Eukaryota	Fungi	Fungi incertae sedis	Early diverging fungal lineages	Mucoromycotina	Mucorales	Mucorineae	Rhizopodaceae	Rhizopus,100	121	90.66
98f3ef9d26c77e10c606988cf2d917ef,Eukaryota,90	110	86.99
995a5f5def2cf6c274ceb2ef538faaac,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria,96.84	95	71.19
9a75eee78a8cac02488dc0ae1bf009cf,Eukaryota,100	50	90.07
9b0df9ab5bd2d96f44dcf482881184fb,Eukaryota	Metazoa	Chordata	Craniata	Vertebrata	Euteleostomi	Mammalia	Eutheria,100	124	91.36
9b223c4ae8ed5318884ba6948ac1106d,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Peritrichia	Vorticellidae,100	92	88.96
9c945cdad961595f644a7bc7df49f94e,Eukaryota	Stramenopiles	Labyrinthulomycetes	Thraustochytriaceae,91.74	121	89.18
a3cd8e32005d1c39fe56b921809993a9,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Euphausiacea	Euphausiidae,100	120	89.19
a48aefbf5959f6f14b9c81d0190e6397,Eukaryota	Metazoa,93.85	65	71.20
a6b5667c2b4338b5f63a4edf183d1dcc,Eukaryota,93.44	61	86.92
a70717c52d4caa465557b93f173da1ea,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria,96	50	70.36
aa6e91b952c92dc12316f65573e86701,Eukaryota	Metazoa,100	40	72.35
addbf6ca6181ce7818d26c22f5400006,Eukaryota	Stramenopiles	Chrysophyceae,95.73	117	70.30
ae0c4c308d1b3ffd02bf98e93cafc902,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea,96.97	66	71.63
af95cbb75bce9967145e445f245f61ba,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,94.96	119	70.49
b028f025b0ae9ada67fdd058f22dc0e8,Eukaryota	Metazoa	Lophotrochozoa	Rotifera	Monogononta	Ploimida,100	121	90.83
b27a64a5915297db1395a9fc6f37cb01,Eukaryota,99.21	126	89.80
b2c19d3a0d856fda04b8e923c52067c3,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,100	119	90.35
b366cfac32cb711bf990880f530534c8,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Oligohymenophorea	Apostomatida	Foettingeriidae,94.29	105	71.07
b596cee39167c6c35352b2baa8947302,Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales,100	117	87.08
b5b8a5efff0dbd82c2a7ae110e583e94,Eukaryota	Alveolata	Apicomplexa	Conoidasida	Coccidia	unclassified Coccidia	Intranuclear coccidium JW-2004,100	25	90.28
b644b748c892eccd2ea4879d5acad64f,Eukaryota,88.98	118	87.23
b8a28f98be8a3b7bb203dd2a0af8e183,Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Dothideales	Aureobasidiaceae,100	119	91.31
b92dd5d08afc1fcfc6b9c98b8ceafca0,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,100	120	88.49
b948933a75042b8cd1bb5c12e3d58351,Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes	Polyporales,97.48	119	71.65
bc6ca83835cf86d3e8edd1a162434134,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea,96.08	102	87.78
bcea2098bfe26fb7e9a58672a6925035,Eukaryota	Metazoa,100	40	72.35
bd137377cb52116abed7ee77a15f3ff4,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Maxillopoda	Copepoda,98.53	68	90.57
be1683352603ba0f480f7c1929907caf,Eukaryota	Cryptophyta,93.16	117	86.93
c1642785ff115716be64a1091816d0db,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,97.48	119	89.18
c290b7494422f61df7f6d082a2825dcd,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,97.48	119	89.18
c5ef1f36fde3aafe5ad209db389720da,Eukaryota	Stramenopiles	Synurophyceae	Synurales	Mallomonadaceae	Synura,100	117	90.77
c64ba32e2a86f51727a572466e23b449,Eukaryota	Alveolata	Ciliophora	Intramacronucleata,98.28	58	89.30
c66676d18ea6c6f5f1ff93727ba32ed6,Eukaryota	Fungi,100	59	90.22
c7259fc6348cc764d3ad76537a324251,Eukaryota	Alveolata	Dinophyceae,99.13	115	70.74
c7a753697f13921402fa4253bfeb9e5d,Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	Cryptomonas,91.38	116	88.65
ca12f8417011275295499f263fcd7f2f,Eukaryota	Fungi,100	118	90.96
cb8d81328420fc62541c68ef92a7a81e,Eukaryota	Rhizaria	Foraminifera,96.67	60	89.00
cc80f0c93e413e986c8a5a5e23ec85c3,Eukaryota	Metazoa	Ecdysozoa	Arthropoda	Crustacea	Malacostraca	Eumalacostraca	Eucarida	Decapoda	Dendrobranchiata,97.22	72	71.39
cde5e78a0423e07fa247d5d987418b51,Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales,98.29	117	89.60
ce6b3c797dfad46dbbe2a4de0dda3191,Eukaryota,96.55	58	90.22
cf5569a4ca838867eb2d13eec241136c,Eukaryota	Alveolata	Dinophyceae	Gymnodiniales,88.18	110	84.11
d0870a906e11491328603a2ba547f905,Eukaryota	Alveolata	Dinophyceae,100	57	72.21
d0a9aa3da52164360428884bac13baf0,Bacteria	Proteobacteria	Gammaproteobacteria,98.33	60	89.16
d236322d6b652ae2fb7c7292342eed0b,Eukaryota	Viridiplantae	Streptophyta	Embryophyta	Tracheophyta	Spermatophyta	Magnoliophyta	Liliopsida	Asparagales	Amaryllidaceae	Allioideae	Allieae	Allium,100	110	90.58
d288f428a808c6e521729200b94b4ce3,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria,95.08	61	87.30
d3d4ddd28630b414b2f7ee0f2b318fe5,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Cyrtophoria,96.55	58	70.78
d402ec361633f8aaf4955bd69d5146c1,Eukaryota	Fungi,100	118	90.96
d817f860c910f618bc5455fc59c856bb,Bacteria,94.12	34	86.92
d9178ac09a39f7c21b285454e7c08ecf,Eukaryota,98.04	51	89.55
daaa6e19879df098ad7302e79e4e8e98,Eukaryota	Rhizaria	Cercozoa,95.76	118	88.89
dc07cc242b32fed04b85e921a1da580e,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,98.32	119	89.54
dcabc2b908afa5fc7e5d447d608b611a,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,99.16	119	90.28
dcdcbfed3fc70a204cc0ce736827727d,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina,94.12	119	87.32
de3a317d3262e47c4f81088997b4997b,Eukaryota	Alveolata	Ciliophora	Intramacronucleata,94.55	55	88.89
deb112cc2f068a72e241a34763290a73,Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	Cryptomonas,91.38	116	88.65
df74e378befabbcfd5dd4b0a835ccfc7,Eukaryota	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae,90.43	115	85.77
e010c1a75acd33e340e07c412d8e528f,Eukaryota	Viridiplantae	Streptophyta	Embryophyta	Bryophyta,98.44	64	71.95
e0186b848e1b0a1aca0ac5a1e5a1aec6,Eukaryota	Alveolata	Dinophyceae,98.36	61	89.26
e1d59a32f67f8dcc88af51817743e0dd,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,94.96	119	70.49
e2275561ae83cae489f5fbd724975ca0,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Phyllopharyngea	Suctoria,96.84	95	71.19
e27fd27a18af0af70607db09c82949c7,Eukaryota	Stramenopiles,100	50	72.44
e2b596a5d988ef7dfca5773e4b4bf917,Eukaryota	Stramenopiles	Chrysophyceae,88.03	117	70.20
e32a11a2d79cd6fdf7d013aa62412fd9,Eukaryota	Alveolata	Dinophyceae,98.36	61	89.40
e3a913eb0e7fa9bf2be5017a9575233f,Eukaryota	Metazoa	Ctenophora,99.15	117	89.19
e3bc5cbdf1048f9279da1c03f0a8d6f1,Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae,100	118	73.04
e3c77d043219e5be03a9be1e8f52f1f9,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,94.12	119	87.41
e51ff25b4e1a6554a04bedd4cd440a5e,Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariophycidae,97.39	115	89.74
ea50a4065078bc6b9ace6c5121de3ced,Eukaryota	Metazoa	Cnidaria	Hydrozoa	Hydroidolina	Siphonophorae,98.32	119	89.34
eb7a2d5c210d8ca8d78e74421f9611dc,Eukaryota	Alveolata	Ciliophora	Intramacronucleata	Spirotrichea,96.97	66	71.63
