"OTU" "Feature_name" "152_227Halis_379_198_S1_L001" "152_228Nanom_367_210_S2_L001" "152_233bChun_355_222_S3_L001" "152_234bEren_343_234_S4_L001" "152_235bApol_331_246_S5_L001" "152_236Apole_319_258_S6_L001" "152_241Lensi_307_270_S7_L001" "152_242Forsk_295_282_S8_L001" "152_243Apole_378_199_S9_L001" "152_244Steph_366_211_S10_L001" "152_245Diphy_354_223_S11_L001" "152_246Diphy_342_235_S12_L001" "152_247Diphy_330_247_S13_L001" "152_248Diphy_318_259_S14_L001" "152_249Diphy_306_271_S15_L001" "152_250Vogti_294_283_S16_L001" "152_251Diphy_377_200_S17_L001" "152_252Agalm_365_212_S18_L001" "152_253Agalm_353_224_S19_L001" "152_254Chuni_341_236_S20_L001" "152_255Apole_329_248_S21_L001" "152_256Apole_317_260_S22_L001" "152_257Apole_305_272_S23_L001" "152_258Praya_293_284_S24_L001" "152_259Steph_376_201_S25_L001" "152_260Apole_364_213_S26_L001" "152_261Sphae_352_225_S27_L001" "152_262Forsk_340_237_S28_L001" "152_263Apole_328_249_S29_L001"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_250_92.36_" "ddd8edb53bb2e6becd9c2806ac79d45c" "0" "6" "0" "0" "0" "5" "0" "2" "0" "0" "0" "8" "7" "0" "0" "0" "0" "7" "0" "12" "23" "19" "6" "5" "14" "0" "5" "0" "0"
"Eukaryota_Metazoa__97.98_126_71.16_____" "f616d315d01179a2a7b06fa517da74c3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "118" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.73_153_89.93_" "c25b21af5289b47ef4d8c7adea869b5e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "106" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_133" "89e3d04f3144d57c07a46798464b6536" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "105" "0"
"Eukaryota_Metazoa__92.16_153_86.63_____" "9d2f12feb0aba491355b5f69c465a350" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "73" "0" "0"
"Eukaryota_Metazoa__92.16_153_86.63_____" "6acda3b7749aa6b64e940934ec0049a1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "69" "0" "0"
"Eukaryota_Cryptophyta_Pyrenomonadales__90.91_66_85.69____" "0cfbab4021585359c764b55e91930139" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "65" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.96_49_89.56_" "ef4d25ef4a56f4279905e614d2b16625" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "54" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_154_91.68_" "b024610b947c3668028a72b78875dc72" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda__100_153_91.67" "5baa8e17c1bade43f5ffb2cc3b3c4041" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "35" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.96_49_89.56_" "a7f5b2b6352d43770ae1b119a1ccc667" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "34" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_314_93.13_" "07738705d933654e74b3e95828a0b2ed" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "8" "0" "0" "10" "0" "4" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Mammalia_Eutheria_Euarchontoglires__100" "4d89fb2b2cd129e0cdbd9bbb7222fb4d" "0" "0" "0" "0" "31" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda__100_133_91.46" "52f46353c2f8762fa77f872101d4be60" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_161_91.75_" "e9d52be93afb711087c2fc274ae1df1c" "24" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_141_91.54_" "6cc887d77a83d85edae704b286e404fa" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera__89.61_154" "3d3077beb695591c41a7142e66196130" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "16" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_154_91.68_" "88f7fe516710842d6b214e7b774d1490" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "14" "0" "0" "0" "0"
"Eukaryota_Metazoa_Chordata_Tunicata_Thaliacea_Salpida_Salpidae__100_133_73.17" "2889130880b2506c289e3a383c2785b5" "0" "14" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Rhizaria_Foraminifera__91.18_204_87.06____" "8cd76fbbee30b3cd965b91be8e573834" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.95_159_90.03_" "9666fab3ce337f05389ddf3ed8ba6d8b" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata__89.54_153_85.44_____" "fb2fc458a8a64cce981edc0afef7c754" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__93.46_153_87.10______" "881c438e31ea22866f3a080897c2f26c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__94.77_153_88.80_" "3c625e15e03c0ce893f5923d6a6f0f10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Viridiplantae_Chlorophyta_Chlorophyceae_Chlamydomonadales_Chlamydomonadaceae_Chlamydomonas__100_133_73.17" "6c392825def4a47e27008c6387765c89" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Paraneoptera_Hemiptera_Euhemiptera" "5fb3f6e31c705bb1f26251a881037695" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.21_118_89.23_" "3fae3534724ed57390546499bfa62de8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_147_91.61_" "db1f480851928e4542a46b608a665682" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__96.27_249_90.37_" "3bd6b382e9a358bf65c4edeed1baf87e" "0" "0" "0" "0" "4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
