"OTU" "Feature_name" "179_300Apole_091_102_S1_L001" "179_304Crase_079_114_S2_L001" "179_305Crase_067_126_S3_L001" "179_309Forsk_055_138_S4_L001" "179_310Gymno_043_150_S5_L001" "179_311Lychn_031_162_S6_L001" "179_313Marru_019_174_S7_L001" "179_314Praya_007_186_S8_L001" "179_315Resom_090_103_S9_L001" "179_316Resom_078_115_S10_L001" "179_317Vogti_066_127_S11_L001" "179_319Frill_054_139_S12_L001" "179_320Forsk_042_151_S13_L001"
"Eukaryota_environmental samples_uncultured eukaryote__100_162_91.76_______" "7222eeff1484b5651c79d233007da9ba" "43484" "55694" "30578" "24203" "39809" "1246" "46121" "53207" "33066" "10811" "26497" "50808" "8311"
"Eukaryota_environmental samples_uncultured eukaryote__100_162_91.76_______" "78b64b0b9435bace602936a22c43299b" "45870" "55843" "30900" "21856" "40078" "1174" "46888" "50158" "29538" "10089" "26583" "50647" "8462"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__100_184_91.58" "4d8c9bc681a16c0ca1839856e4fd5c88" "0" "0" "0" "0" "0" "35127" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__100_184_91.58" "d6c37c0812fb6f47eab3ba7d588c0b02" "0" "0" "0" "0" "0" "33954" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__96.84_158_90.04_______" "4220ed24a37cfc74bfd690315e4927dd" "0" "0" "0" "0" "0" "0" "0" "0" "2203" "0" "0" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea__94.42_233_71.37_____" "99d7032c118353cd93faf57112bbd474" "0" "0" "0" "0" "0" "0" "0" "485" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__96.3_162_89.77_______" "7070f31960c9dcfacd7df65fb456cb95" "0" "0" "0" "0" "0" "0" "0" "0" "358" "0" "0" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea__93.93_214_70.86_____" "4ff9e8c31045e982cf4108052d363716" "0" "0" "0" "0" "0" "0" "0" "289" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae__100_164_91.76_" "cdadbbe4afa01e7e492fbb77ac89fe72" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "231"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae__100_164_91.76_" "9e0ca45ee71fe0109636c796c11a69a2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "230"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea__87.5_184_83.85_" "300328c72c8e65ca910af7e9cf911e95" "0" "0" "0" "0" "0" "182" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__93.29_164_87.21_________" "a7a1ed22a6b8e20be5ef22de1d5dc812" "0" "0" "62" "0" "0" "30" "0" "0" "0" "0" "0" "0" "35"
"Eukaryota__93.29_164_87.21_________" "cb673b7ba30138cd9845e3390498e748" "0" "0" "68" "0" "0" "26" "0" "0" "0" "0" "0" "0" "25"
"Eukaryota_environmental samples_uncultured eukaryote__100_88_90.98_______" "464e6e1c0cf413517be5e00aba9dd509" "0" "0" "9" "0" "30" "0" "0" "0" "5" "0" "0" "69" "0"
"Eukaryota_environmental samples_uncultured eukaryote__95.06_162_89.05_______" "847281ecc53dd1b33a9af6e4b97bde77" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "78"
"Eukaryota_environmental samples_uncultured eukaryote__95.18_166_89.14_______" "7719bf6bbb12ca2760f06d1a99d357ee" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "69"
"Eukaryota_environmental samples_uncultured eukaryote__99.39_163_90.77_______" "6ee573a54bf3937493d11e21691df5e0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "29" "39"
"Eukaryota__100_131_91.15_________" "61c7f5e47d994babcb01d992296184d9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "67"
"Eukaryota_environmental samples_uncultured eukaryote__99.39_163_90.77_______" "0916e9ceb6216bf8b89861242213d05f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "42"
"Eukaryota__99.39_165_90.84_________" "f90e65eafb13177a41744794eb6040a0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41" "0" "19"
"Eukaryota__99.38_161_91.43_________" "61b86420e2775f6eecbbf435fdd69685" "0" "0" "0" "0" "0" "31" "0" "0" "0" "0" "0" "0" "25"
"Eukaryota_environmental samples_uncultured eukaryote__96.3_162_89.77_______" "0903fcff55dc62c65a13b067abaf3188" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42" "0" "0"
"Eukaryota__99.38_161_91.43_________" "9baa2eee78c35f04647a91d108949a2d" "0" "0" "0" "0" "0" "18" "0" "0" "0" "0" "0" "0" "33"
"Eukaryota_environmental samples_uncultured eukaryote__100_167_91.81_______" "f62fa2e38bdba23a0dec7b168c36d06a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "15" "35"
"Eukaryota_environmental samples_uncultured eukaryote__95.18_166_89.14_______" "8710ae60f7f281b2a9b64ea7c39dc748" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "46"
