"OTU" "Feature_name" "166_300Apole_091_102_S1_L001" "166_304Crase_079_114_S2_L001" "166_305Crase_067_126_S3_L001" "166_309Forsk_055_138_S4_L001" "166_310Gymno_043_150_S5_L001" "166_311Lychn_031_162_S6_L001" "166_313Marru_019_174_S7_L001" "166_314Praya_007_186_S8_L001" "166_315Resom_090_103_S9_L001" "166_316Resom_078_115_S10_L001" "166_317Vogti_066_127_S11_L001" "166_319Frill_054_139_S12_L001" "166_320Forsk_042_151_S13_L001"
"Eukaryota_environmental samples_uncultured eukaryote__99.39_165_91.48_____" "631762098115a861b2a3c57fe2ae2ce5" "72450" "88258" "84449" "43414" "73917" "0" "27194" "55126" "74947" "69260" "71160" "76542" "11967"
"Eukaryota_environmental samples_uncultured eukaryote__99.31_145_91.24_____" "a59c694c72b87e09929138c8397c4b87" "70519" "81435" "79600" "33765" "63054" "1449" "22470" "51010" "58425" "63164" "59182" "73863" "9147"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea__99.4_166" "d6b1e09be571de1c852f17a651b91623" "0" "0" "0" "0" "0" "57877" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea__99.32_146" "d20a968867181414a83ed183ce08d236" "0" "0" "0" "0" "0" "57550" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata_Sergestoidea_" "ba5cf1c1c1ba9119dfa1d1f9e42d5c77" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "55144"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Decapoda_Dendrobranchiata_Sergestoidea_" "911888012cb19ed8acd4ca4cc9dc007f" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "51009"
"Eukaryota_environmental samples_uncultured eukaryote__99.39_165_91.48_____" "6e90cd7654d477388141b5b221864e2f" "0" "0" "0" "0" "0" "2021" "0" "0" "0" "0" "0" "2514" "0"
"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi__100_146_91.59__" "1522e26ce5e7901356a9938c620e5182" "0" "0" "55" "34" "0" "932" "0" "0" "7" "98" "116" "51" "0"
"Eukaryota_Metazoa_Chordata_Craniata_Vertebrata_Euteleostomi_Mammalia_Eutheria__100_166_73.44" "86e31112f858ca42cfad4e36f7df393f" "0" "0" "0" "53" "0" "1110" "0" "0" "0" "89" "0" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea_Azygiida_Hemiuroidea__98.61_144_72.54_" "aeda8b42ab252c4ffc7dc19a4b6a5318" "0" "0" "0" "0" "0" "0" "0" "1177" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea_Azygiida_Hemiuroidea__98.61_144_72.54_" "4472bbaefd3498f911230c8b6e4c4891" "0" "0" "0" "0" "0" "0" "0" "750" "0" "0" "0" "0" "0"
"Eukaryota__99.39_164_91.22_______" "1f162fccabc403a2c3fffee60e1a20a8" "0" "0" "138" "0" "0" "0" "0" "0" "0" "0" "482" "97" "0"
"Eukaryota__100_144_91.08_______" "24be5b3607a3ce5eb752ba2fbb8b0bbe" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "323" "101" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_168_91.19" "b5848a8c86c882efdd09422b0e3648aa" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "362"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__100_148_91.40" "7626c5db57cfb5f99b173536e8bc66e8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "305"
