"OTU" "Feature_name" "179_227Halis_379_198_S1_L001" "179_228Nanom_367_210_S2_L001" "179_233bChun_355_222_S3_L001" "179_234bEren_343_234_S4_L001" "179_235bApol_331_246_S5_L001" "179_236Apole_319_258_S6_L001" "179_241Lensi_307_270_S7_L001" "179_242Forsk_295_282_S8_L001" "179_243Apole_378_199_S9_L001" "179_244Steph_366_211_S10_L001" "179_245Diphy_354_223_S11_L001" "179_246Diphy_342_235_S12_L001" "179_247Diphy_330_247_S13_L001" "179_248Diphy_318_259_S14_L001" "179_249Diphy_306_271_S15_L001" "179_250Vogti_294_283_S16_L001" "179_251Diphy_377_200_S17_L001" "179_252Agalm_365_212_S18_L001" "179_253Agalm_353_224_S19_L001" "179_254Chuni_341_236_S20_L001" "179_255Apole_329_248_S21_L001" "179_256Apole_317_260_S22_L001" "179_257Apole_305_272_S23_L001" "179_258Praya_293_284_S24_L001" "179_259Steph_376_201_S25_L001" "179_260Apole_364_213_S26_L001" "179_261Sphae_352_225_S27_L001" "179_262Forsk_340_237_S28_L001" "179_263Apole_328_249_S29_L001"
"Eukaryota_environmental samples_uncultured eukaryote__100_162_91.76_____NA" "18f366b7ccd45c15b4173756a75f52c6" "17203" "18911" "31010" "25444" "23814" "26318" "18305" "24172" "24371" "13495" "19058" "24835" "23065" "19671" "27226" "26105" "36753" "33866" "18443" "29017" "34460" "24348" "17274" "26492" "20160" "37410" "22122" "24566" "21778"
"Eukaryota_environmental samples_uncultured eukaryote__100_162_91.76_____NA" "f4e7b3df5f63ba2a40d1ea6b598b4d65" "18475" "18097" "29038" "22721" "19722" "25956" "17069" "21944" "24971" "13344" "21535" "24531" "24203" "19710" "28196" "25555" "38139" "34709" "17661" "30089" "37021" "24619" "16752" "27785" "20420" "34439" "21901" "26853" "21027"
"Eukaryota_environmental samples_uncultured eukaryote__99.39_163_90.77_____NA" "f70b5ca3c5acf6f22b0ece62c6e2d7c8" "0" "0" "0" "0" "1194" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.39_163_90.77_____NA" "b004dde2ed374ab8eaf9fe69f70c2ebe" "0" "0" "0" "0" "1095" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_88_90.98_____NA" "2c3935622101e4fefd1e1f96e0185278" "32" "302" "35" "19" "0" "33" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "70" "0" "0" "55" "0" "0" "0" "0" "22" "0" "205" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__98.75_160_ 72.52" "2c2c86b89da25d56756752ff40222b70" "0" "0" "0" "0" "0" "0" "76" "0" "0" "0" "8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "291" "0" "84" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_88_90.98_____NA" "f7f71ac6f5c4e6b1f058cbfb553b20ac" "0" "0" "41" "0" "55" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "7" "85" "0" "0" "43" "0" "0" "0" "0" "15" "0" "162" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_88_90.98_____NA" "1128231472e37b4c914859fc744c3a21" "25" "311" "0" "0" "0" "0" "0" "0" "0" "0" "7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida__98.75_160_ 72.52" "981b923ed84fcd6fa90a1fce603b8f74" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "185" "0" "0" "0"
"Eukaryota__100_164_91.66_______NA" "d6c766710abe9fa0fbaf7d071588c779" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "82" "0"
"Eukaryota_Fungi_Dikarya_Ascomycota__100_163_73.42____NA" "c89075bf0406f88b37a8328a4f07f759" "0" "0" "59" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_88_90.98_____NA" "ffc5d29559e87e00cb370d05dd953ca1" "0" "0" "0" "24" "0" "30" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Fungi_Dikarya_Ascomycota__100_163_73.42____NA" "6c8ffe189807df3470ddf3639790b36d" "0" "0" "46" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__94.44_54_85.19_______NA" "df36aa757ef5238a8de561f4f9a33da8" "0" "0" "0" "0" "42" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.62_314_92.57_____NA" "aa831988991b5b653162c8dab3f77b0f" "3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9" "0" "4" "0" "11" "0" "0" "0" "0" "15" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_164_91.78_____NA" "3cfc325f0b2ce3435c69ce6f08be505c" "0" "0" "0" "0" "0" "0" "41" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__94.44_54_85.19_______NA" "56e184e79ce4b09b67250c39fc0bc7fb" "0" "0" "0" "0" "37" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__93.83_162_88.31_____NA" "a72fe7f940b386cad64fa547638e1e9a" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "33" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_Metridinidae__98.78_164.00" "3d9bd041d29627bdc3f12b59ee03a602" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "28" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.4_168_73.21_____NA" "1cee9a0ddd49e45e6398a3433bac54f9" "0" "0" "0" "0" "22" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.38_161_91.43_______NA" "7c656fa506f646f89fccfcb4496147b6" "0" "0" "0" "0" "20" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__99.38_161_91.43_______NA" "2aa29188429cbcf984bc43f89190fe6f" "0" "0" "0" "0" "19" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.62_314_92.57_____NA" "06ae0871231e2e4d50f8bfdc61638f25" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.4_168_73.21_____NA" "f7085432daf77d1adab08b34485adfb7" "0" "0" "0" "0" "17" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_166_91.78_____NA" "edcbf59b6770ca79b160e90dbd6b6c02" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_167_91.81_____NA" "b302c9a7794bfd24bd126c6a5aae4fea" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa__99.39_164_91.47______NA" "466a7b05754e464e8209a07024b15b4a" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.19_166_90.40_______NA" "0f30b056cd4c30fbce45a93e835ed5fc" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa__99.39_164_91.47______NA" "56e53a82c3284b574e2d18205db60eea" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__100_166_91.78_____NA" "2557764e47c39632c86aca7031986e98" "0" "0" "0" "0" "13" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__96.3_162_89.49_____NA" "780cb8b862341b2391851fd96d1ce7c3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__95.03_161_89.44_______NA" "6bfd78e0448c678f02f89ee7bf1cc343" "0" "0" "0" "0" "12" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Sertulariidae_Sertularella__96.55_109_ 71.54" "c3405f3d2ae62b811073fc1653f12922" "0" "0" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples__99.4_167_72.82______NA" "96631a6e995d5442bbb5c260ea985762" "0" "0" "0" "0" "11" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
