"OTU" "Feature_name" "272_264_Nano_093_100_S1_L001" "272_265_Nano_081_112_S2_L001" "272_266_Nano_069_124_S3_L001" "272_267_Nano_057_136_S4_L001" "272_268_Nano_045_148_S5_L001" "272_269_Nano_033_160_S6_L001" "272_270_Nano_021_172_S7_L001" "272_271_Nano_009_184_S8_L001" "272_272_Nano_092_101_S9_L001" "272_273_Nano_080_113_S10_L001" "272_274_Nano_068_125_S11_L001" "272_275_Nano_056_137_S12_L001" "272_276_Sulc_044_149_S13_L001"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__ 99.20_251.00_ 73.55_NA" "4818a01f3652ff47ff17be7ee8154912" "22558" "36880" "35980" "35071" "42951" "48795" "34046" "1070" "33117" "1101" "13132" "39198" "114455"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__ 99.20_251.00_ 73.55_NA" "ee1e34c4a28fb799f5680990bc64a841" "15823" "43144" "34816" "26396" "40631" "39857" "28307" "31424" "29247" "27272" "10926" "34911" "76312"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Calanoida_NA_ 97.63_253.00_90.75" "08cc1a9e6695de6562ccbbcca9786901" "0" "0" "0" "0" "618" "501" "1377" "18906" "0" "1799" "0" "0" "183"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.24_198.00_ 91.00_NA_NA" "a8026d86b3de6b6fdfa0752cb11553c1" "9" "18" "25" "0" "0" "65" "37" "0" "0" "96" "17" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.59_212.00_ 91.36_NA_NA" "098d8f1a1e4e99caa93f75adac9adf71" "0" "0" "23" "7" "0" "0" "5" "130" "46" "0" "28" "0" "0"
"Eukaryota_Alveolata_Dinophyceae__99.21_252_92.23__NA_NA_NA_NA" "47f5fee37f25cf54c2dddf2e38c3d3b4" "0" "0" "0" "0" "0" "0" "0" "0" "0" "125" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.73_221.00_ 91.33_NA_NA" "4120e2729a9fd2a2dd36e4f906a15f23" "0" "0" "35" "0" "0" "0" "0" "0" "33" "26" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.58_141.00_ 90.82_NA_NA" "1b8bf44fb827607eaf1b5aab8d4e7ab3" "0" "0" "0" "0" "92" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__97.91_190.00_ 90.70_NA_NA" "dbe9076579c9e69bba93cc2f3ee1b756" "0" "11" "0" "46" "0" "0" "0" "23" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__99.02_177_ 90.86_NA_NA_NA" "84332357578121b744a1563c15dafc63" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "56" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__ 98.84_173.00_ 72.77_NA" "69306ab6bbaba03f3dcdcdd014436462" "0" "0" "0" "0" "0" "0" "0" "0" "47" "0" "8" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__99.02_177_ 90.86_NA_NA_NA" "9a58c3bcd48af081655026ae4d5afbdf" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "49" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__100.00_195.00_ 73.46_NA" "fda891f26a6e1d832b5a5f15f748a2d4" "0" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.58_141.00_ 90.82_NA_NA" "88dbbe4886b492a5d738d0b1abf190cf" "0" "0" "0" "0" "45" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Platyhelminthes_Trematoda_Digenea__98.82_254_ 91.90_NA_NA_NA" "59849360a105961529b8dd850aa49a87" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "45" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae__ 98.84_172.00_ 72.76_NA" "4053d276806e8b0daa2084874f1aeaec" "0" "0" "0" "0" "0" "0" "0" "0" "43" "0" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.09_202.00_ 90.98_NA_NA" "55f4871ba691cd9d1399bd5a827c1c0e" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__98.15_193.00_ 90.89_NA_NA" "059462c7adc6070efd977f1b2dfb54b2" "0" "0" "0" "0" "0" "24" "0" "0" "0" "0" "18" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__91.24_251.00_ 87.02_NA_NA" "f9eedaeea9ced94a9c2ebd620bddfd19" "0" "0" "0" "0" "0" "12" "0" "27" "0" "0" "0" "0" "0"
