"OTU" "Feature_name" "152_300Apole_091_102_S1_L001" "152_304Crase_079_114_S2_L001" "152_305Crase_067_126_S3_L001" "152_309Forsk_055_138_S4_L001" "152_310Gymno_043_150_S5_L001" "152_311Lychn_031_162_S6_L001" "152_313Marru_019_174_S7_L001" "152_314Praya_007_186_S8_L001" "152_315Resom_090_103_S9_L001" "152_316Resom_078_115_S10_L001" "152_317Vogti_066_127_S11_L001" "152_319Frill_054_139_S12_L001" "152_320Forsk_042_151_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153.00_ 91.67" "b21a8538810c660dcaa807a6faae1933" "58165" "35887" "35782" "32123" "43849" "933" "42373" "47399" "78820" "51295" "32870" "56012" "2853"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153.00_ 91.67" "9b3ee46433f2514d43c047a735319a81" "48087" "31414" "30654" "22736" "37873" "917" "36610" "39488" "68149" "44265" "28383" "49209" "2626"
"Eukaryota_Bilateria__100_153_91.67__NA_NA" "e26ad02cbdb87ca4cd0e25c1a5e4ea00" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "46751"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_153.00" "f8f9dd4f8aac3624d90e4592152042d5" "0" "0" "0" "0" "0" "40757" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Bilateria__100_153_91.67__NA_NA" "ac95ec9b94e750f16e7d138db90282a7" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "38971"
"Eukaryota_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea__100.00_153.00" "6a7a3477bf10c75500b5e68941adf3ad" "0" "0" "0" "0" "0" "36334" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__88.81_143_83.03___NA_NA" "49bf53f1464c5e70b8359c3ce98185ac" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "9442" "0" "0"
"Eukaryota__88.81_143_83.03___NA_NA" "ed77fb1a0119d14fa943346adcdbdc86" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6661" "0" "0"
"Eukaryota__96.09_108_89.25___NA_NA" "301a553a6ce5fa08244e9d373d284260" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "4197" "0" "0"
"Eukaryota__96.41_88_89.15___NA_NA" "bf2f64f14a15f2be57fa1de2b4fd7014" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "3607" "0" "0"
