"OTU" "Feature_name" "152_264_Nano_093_100_S1_L001" "152_265_Nano_081_112_S2_L001" "152_266_Nano_069_124_S3_L001" "152_267_Nano_057_136_S4_L001" "152_268_Nano_045_148_S5_L001" "152_269_Nano_033_160_S6_L001" "152_270_Nano_021_172_S7_L001" "152_271_Nano_009_184_S8_L001" "152_272_Nano_092_101_S9_L001" "152_273_Nano_080_113_S10_L001" "152_274_Nano_068_125_S11_L001" "152_275_Nano_056_137_S12_L001" "152_276_Sulc_044_149_S13_L001"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153_ 73.33" "afd8e67ecd98cd21e47deb0f2e375819" "44744" "0" "56498" "60844" "83427" "62459" "56803" "41356" "65622" "53870" "82028" "85825" "66349"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_153_ 73.33" "c32c77b92b9fa8088d49e730f0af31a6" "40323" "0" "52628" "53373" "70799" "56586" "48775" "35912" "61425" "49467" "60171" "79699" "54962"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Centropages_Centropages typicus_NA_100.00" "979d2af60009f3b80469b43eb0fba8ee" "0" "0" "0" "0" "84" "1018" "2240" "10775" "0" "854" "0" "0" "110"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Centropages_Centropages typicus_NA_100.00" "2ff3ae2ffa9fcbba869232574959928f" "0" "0" "0" "0" "0" "0" "1998" "10977" "0" "845" "0" "0" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Acartia_Acartia tonsa_NA_100.00" "33072e6f638d8954e86a8da310312580" "0" "0" "0" "0" "0" "0" "0" "0" "0" "670" "604" "26" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Acartia_Acartia tonsa_NA_100.00" "2f6d64ad29c6de4b1a881dcf19322f52" "0" "0" "0" "0" "0" "0" "0" "0" "0" "481" "614" "27" "0"
"Eukaryota_Arthropoda_Crustacea_Multicrustacea_Hexanauplia_Centropages_Centropages typicus_NA_100.00" "4ec9823bff2beed361cf09ff1f26ccc8" "0" "0" "0" "0" "90" "870" "0" "0" "0" "0" "0" "55" "82"
"Eukaryota_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae__100_133_ 73.17" "411e6987b2884d64a3307d700eb4b622" "23" "0" "0" "16" "0" "22" "30" "0" "31" "27" "5" "28" "31"
"Eukaryota_Platyhelminthes_Trematoda_Digenea_Strigeidida  super Diplostomoidea__100_153_ 91.67" "ea5c559e9aecc08f38931c404d22ca6c" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "149" "0" "0"
"Eukaryota_Platyhelminthes_Trematoda_Digenea_Strigeidida  super Diplostomoidea__100_153_ 91.67" "a8f00bc535b817cadf3432befc8b7702" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "123" "0" "0"
