"OTU" "Feature_name" "272_300Apole_091_102_S1_L001" "272_304Crase_079_114_S2_L001" "272_305Crase_067_126_S3_L001" "272_309Forsk_055_138_S4_L001" "272_310Gymno_043_150_S5_L001" "272_311Lychn_031_162_S6_L001" "272_313Marru_019_174_S7_L001" "272_314Praya_007_186_S8_L001" "272_315Resom_090_103_S9_L001" "272_316Resom_078_115_S10_L001" "272_317Vogti_066_127_S11_L001" "272_319Frill_054_139_S12_L001" "272_320Forsk_042_151_S13_L001"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_252_92.23_____" "e10798d3d9682da7d928c06dca01c005" "0" "0" "20" "0" "0" "0" "0" "0" "5" "0" "0" "53" "360"
"Eukaryota_Fungi_Blastocladiomycota_Blastocladiomycetes_Blastocladiales_Catenariaceae_Catenaria__95.7_256_72.49_" "989e8f11b25e2669b9980df88a651826" "0" "0" "58" "0" "0" "0" "24" "0" "0" "0" "246" "16" "53"
"Eukaryota_Fungi_Blastocladiomycota_Blastocladiomycetes_Blastocladiales_Catenariaceae_Catenaria__95.7_256_72.49_" "32f8cb98030ce5e8c9f125d2512fc762" "0" "0" "58" "0" "0" "0" "26" "0" "0" "0" "216" "17" "40"
"Eukaryota_Alveolata__99.18_245_73.17______" "bc9c52e62081ff5d0db61b0d887a103b" "0" "0" "13" "0" "11" "0" "11" "0" "0" "0" "243" "24" "33"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_252_92.23_____" "71d4d8087aa604003305263e9ca65f9c" "0" "0" "25" "0" "0" "0" "0" "0" "0" "0" "0" "13" "294"
"Eukaryota_Metazoa__99.21_252_73.78______" "0b5db6a9af087cd676fe1641f60066f8" "0" "2" "174" "0" "0" "0" "7" "0" "0" "0" "47" "0" "78"
"Eukaryota__98.81_252_91.79_______" "ec131f74e1eee6a8d51f75b8fe742545" "0" "0" "159" "0" "0" "0" "0" "0" "0" "0" "43" "0" "51"
"Eukaryota_Alveolata__99.18_245_73.17______" "fd301e26706631d9cb4fc1c9a6658aa3" "0" "0" "0" "0" "0" "0" "9" "0" "0" "0" "211" "0" "12"
"Eukaryota__99.21_252_92.26_______" "4c431bee552428d9b54a90ed35153616" "0" "0" "0" "0" "16" "0" "0" "0" "0" "0" "0" "0" "194"
"Eukaryota__99.21_252_92.26_______" "9a91fde5ef1ebf41214386acb6f11444" "0" "0" "0" "0" "21" "0" "0" "0" "0" "0" "0" "0" "174"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__97.51" "6923644a61bd80a06950cab896b92e45" "0" "0" "0" "0" "0" "173" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__95.62_251_90.00_____" "d7d5480f6a4f0ebfa6933b3949941e81" "0" "0" "0" "0" "0" "0" "0" "0" "0" "137" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida__89.55_201_85.92" "037f4e98598b1250f4988ae76af97d71" "0" "0" "0" "0" "0" "130" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_253_92.24_____" "3a879944115964ad3a72cc6b4c12b8e8" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "10" "101"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__97.79" "b5fbb1ab89067b0e524bedf656d5725a" "0" "0" "0" "0" "0" "107" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida__89.55_201_85.92" "51c3cf5f273c8ee22128fadedb95f30e" "0" "0" "0" "0" "0" "99" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Viridiplantae_Streptophyta_Embryophyta_Tracheophyta_Spermatophyta_Magnoliophyta_eudicotyledons__99.21_252_92.23" "d09f86c013d3c954ff8173b77759ac8b" "0" "0" "11" "0" "0" "0" "0" "0" "0" "59" "0" "0" "26"
"Eukaryota_Fungi_environmental samples_uncultured fungus__99.21_252_92.23____" "5caca7cde84cb95493be5cd62296121f" "0" "0" "8" "0" "0" "0" "10" "0" "29" "0" "6" "10" "32"
"Eukaryota_Viridiplantae_Chlorophyta_Chlorophyceae_Chlamydomonadales__99.21_252_92.23___" "b880b562d3e4769dc11fe5155c163d87" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "90"
"Eukaryota_Fungi__99.21_252_92.23______" "0ddb58e7d56e05f05baf63502d65f835" "0" "0" "0" "0" "0" "0" "0" "0" "34" "0" "41" "0" "13"
"Eukaryota_Fungi__99.21_252_92.23______" "0d360f400c862ec926d62b4a79871abc" "0" "0" "0" "0" "0" "0" "0" "0" "21" "0" "30" "0" "27"
"Eukaryota_Fungi__100_232_92.28______" "2fe1b1e451f13cccda9296179e171b50" "0" "0" "0" "0" "0" "0" "0" "0" "10" "26" "20" "0" "18"
"Eukaryota_environmental samples_uncultured eukaryote__99.21_253_92.24_____" "04ea96881cd8c2d3d66a50e4c4fffd77" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "72"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Spirotrichea_Stichotrichia_Sporadotrichida_Oxytrichidae__98.8_249_73.49" "2bf7fa2d5259ddf2e25bba7bc86703da" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "20" "0" "51"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea_Euphausiidae__95.24" "2a8ad0f8a8b2e46f6aed37c7857dcb7c" "0" "0" "0" "0" "0" "67" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_environmental samples__94.88_215_71.50______" "086797db2b392b3fca7bd2d61aa47229" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "63" "0" "0"
"Eukaryota_environmental samples_uncultured eukaryote__95.62_251_90.00_____" "b8bc1c05176dbb918d50f227d3ac01f3" "0" "0" "0" "0" "0" "0" "0" "0" "0" "61" "0" "0" "0"
"Eukaryota_Fungi_Dikarya_Basidiomycota_Agaricomycotina_Agaricomycetes__97.62_252_91.15__" "62a96c46ee5b3091b81917017ec43f09" "0" "0" "0" "0" "0" "0" "0" "0" "24" "0" "0" "14" "23"
"Eukaryota_Fungi_environmental samples_uncultured fungus__99.21_252_92.23____" "eec649660f3677e698276da3cf6a1543" "0" "0" "0" "0" "0" "0" "9" "0" "36" "0" "0" "15" "0"
"Eukaryota_environmental samples_uncultured eukaryote__98.57_210_91.48_____" "176c60f228bdd2daf796ac1cd9c28eac" "0" "0" "0" "0" "24" "0" "0" "0" "0" "36" "0" "0" "0"
"Eukaryota_Metazoa_Cnidaria_Scyphozoa_Coronatae__99.6_251_73.94___" "16d8a9bce66b31c870dd846b823e2a89" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "31" "28"
"Eukaryota_Metazoa_Cnidaria_Hydrozoa_Hydroidolina__99.1_202_91.26___" "4f4872c739a366bebfea487e7500bf24" "0" "0" "0" "57" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota_Alveolata_Ciliophora_Intramacronucleata_Spirotrichea_Stichotrichia_Sporadotrichida_Oxytrichidae__98.8_249_73.49" "6247d6eb56a42142a4d04a59e2b90550" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "54"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea__87.5_224" "92eee81e4e1489474551d1ec39e35dbb" "0" "0" "0" "0" "0" "52" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.4_250_91.44_______" "967e9f090b5c1ced5f99f163e4c82ac9" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "34" "0" "17"
"Eukaryota_Metazoa_Ecdysozoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Eucarida_Euphausiacea__87.5_224" "f4ea11d925788bb34f4989b70c4dee1b" "0" "0" "0" "0" "0" "47" "0" "0" "0" "0" "0" "0" "0"
"Eukaryota__98.8_250_91.99_______" "6739aa11fb913463c773c4ab87e5ed24" "0" "0" "28" "0" "0" "0" "0" "0" "19" "0" "0" "0" "0"
