"Species"	"Siphonophore"	"Copepod"	"Decapod"	"Euphausid"	"Mysid"	"Lophogastrid"	"Stomatopod"	"Ostracod"	"Bivalve"	"Larvacean"	"Salp"	"Scyphomedusa"	"Ctenophore"	"Actinopteri"	"Amphipod"	"Isopod"	"Echinoderm"	"Polychaete"	"Chaetognath"	"Gastropod"	"Doliolid"	"Pyrosome"	"Sponge"	"Ascidian"	"Hydrozoan"	"Anemone"	"Branchiopod"	"Bryozoan"	"Nemertean"	"Sipunculan"	"Echiurid"	"Rotifer"	"Gastrotrich"	"Platyctenid"	"Orthonectid"	"Trematode"	"Cestode"	"Nematode"	"Myxozoan"	"Ichthyiophonid"	"Mite"	"Insect"	"Oligochaete"	"Shark"	"Tetrapod"	"Pollen"	"Eukaryote"	"Bacteria"
"Marrus claudanielis"	1213945	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	206	0	3524	0
"Muggiaea atlantica"	1571267	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0
"Nanomia (deep)"	876398	0	0	114544	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	309	0
"Nanomia sp. Atlantic"	13358459	317557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1177	0	0	0	0	0	0	0	0	0	19	580	0
"Nanomia sp. shallow"	5609075	65748	0	0	0	0	0	4	0	32	6	0	0	14	8645	8	0	12	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	7472	0	0	0	0	0	5775	2	0	22	58	547627	12
"Physalia physalis"	2158015	82	52932	0	236	0	0	0	0	18	0	0	96	21362	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	2	0	34	0	0	0	4946	0	22	170	0	20	36	0	2668	3938	24	198452	25
"Praya dubia"	1623904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20866	0	0	0	0	0	0	0	0	0	0	12	28
"Resomia dunni"	2336093	3574	0	0	0	0	0	0	0	0	0	0	0	68	0	0	38	0	0	0	0	0	0	0	0	0	0	4	82	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1106	10	19769	0
"Resomia ornicephala"	908664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	1032	298	1492	0
"Sphaeronectes christiansonae"	616868	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	28	0	0	12	140	0
"Sphaeronectes koellikeri"	3655422	4658	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	345	0	2000	0
"Stephanomia amphytridis"	3171532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	439977	0
"Sulculeolaria chuni"	1488653	2594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
"Undescribed physonect L"	3037966	0	0	0	0	0	0	0	70	40	0	0	3582	26	0	4	0	0	4	0	0	96	172	18	236	0	2	0	0	0	0	0	0	0	0	0	10	0	64	0	0	32	28	0	68	92	7632	0
"Undescribed physonect ZigZag"	285522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vogtia serrata"	1598225	0	46	62	0	0	0	236	70	0	0	0	0	0	12	0	0	0	0	0	0	0	76	0	47	0	0	0	0	0	0	130	10	0	0	0	0	0	0	0	58	0	0	0	1422	39273	139801	8
